GOBPID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	GENEID_list	GENENAME_list
GO:0000122	0.0192216007892508	3.09536332179931	3.70768358378225	8	18	negative regulation of transcription by RNA polymerase II	ENSXMAG00000004559,ENSXMAG00000010581,ENSXMAG00000018783,ENSXMAG00000018934,ENSXMAG00000004738,ENSXMAG00000005475,ENSXMAG00000007976,ENSXMAG00000013351	HDAC7,zeb2b,id3,nr1d1,klf6a,zeb1b,HDAC4,prdm1a
GO:0001556	0.0220888546967625	4.83166436464088	1.85384179189113	5	9	oocyte maturation	ENSXMAG00000009518,ENSXMAG00000011679,ENSXMAG00000019863,ENSXMAG00000002246,ENSXMAG00000018674	gper1,nemp1,paqr7b,lepr,ybx1
GO:0001568	0.00761864382404653	1.63050673527201	28.6315565636518	41	139	blood vessel development	ENSXMAG00000000203,ENSXMAG00000001243,ENSXMAG00000001821,ENSXMAG00000001857,ENSXMAG00000003079,ENSXMAG00000003277,ENSXMAG00000003465,ENSXMAG00000004021,ENSXMAG00000004304,ENSXMAG00000004318,ENSXMAG00000007024,ENSXMAG00000007610,ENSXMAG00000011005,ENSXMAG00000011072,ENSXMAG00000013193,ENSXMAG00000017903,ENSXMAG00000001540,ENSXMAG00000001898,ENSXMAG00000002497,ENSXMAG00000004396,ENSXMAG00000007536,ENSXMAG00000011345,ENSXMAG00000013170,ENSXMAG00000015415,ENSXMAG00000016174,ENSXMAG00000020230,ENSXMAG00000020266,ENSXMAG00000020354,ENSXMAG00000003093,ENSXMAG00000004225,ENSXMAG00000005549,ENSXMAG00000006487,ENSXMAG00000011009,ENSXMAG00000012791,ENSXMAG00000013421,ENSXMAG00000013581,ENSXMAG00000019787,ENSXMAG00000000174,ENSXMAG00000000193,ENSXMAG00000009676,ENSXMAG00000015247	angptl2b,fli1,fn1a,adgra2,foxf1,notch1b,jak2a,ANO6,stk25b,sema3e,ube3d,myo6a,smo,acvrl1,kdrl,SLC2A1,ITGA4,nrp2b,f3a,runx1,yap1,tardbpa,npas4a,ntn4,per2,lpar6a,nrarpa,scg2b,isl2a,sox7,ADA2,abca1a,itgb1a,ADGRB1,lpar2a,apln,twist1b,rtn4a,nfkb2,flt4,aplnra
GO:0001764	0.0342367697509216	3.3136538651397	2.67777147717607	6	13	neuron migration	ENSXMAG00000001157,ENSXMAG00000001864,ENSXMAG00000011418,ENSXMAG00000017299,ENSXMAG00000007226,ENSXMAG00000014457	vangl2,scrib,hgfa,prickle1a,RELN,met
GO:0001933	0.0087252524284668	Inf	0.617947263963709	3	3	negative regulation of protein phosphorylation	ENSXMAG00000015044,ENSXMAG00000001245,ENSXMAG00000017367	camk2n1a,pkig,aida
GO:0001944	0.000769659089236689	1.77061105421593	34.3990643606464	52	167	vasculature development	ENSXMAG00000000203,ENSXMAG00000000919,ENSXMAG00000001243,ENSXMAG00000001821,ENSXMAG00000001857,ENSXMAG00000001864,ENSXMAG00000003079,ENSXMAG00000003277,ENSXMAG00000003465,ENSXMAG00000004002,ENSXMAG00000004021,ENSXMAG00000004304,ENSXMAG00000004318,ENSXMAG00000005525,ENSXMAG00000006746,ENSXMAG00000007024,ENSXMAG00000007610,ENSXMAG00000009982,ENSXMAG00000011004,ENSXMAG00000011005,ENSXMAG00000011072,ENSXMAG00000013193,ENSXMAG00000015619,ENSXMAG00000017903,ENSXMAG00000019406,ENSXMAG00000001540,ENSXMAG00000001898,ENSXMAG00000002497,ENSXMAG00000004396,ENSXMAG00000007536,ENSXMAG00000011345,ENSXMAG00000013170,ENSXMAG00000015415,ENSXMAG00000016174,ENSXMAG00000019951,ENSXMAG00000020230,ENSXMAG00000020266,ENSXMAG00000020354,ENSXMAG00000003093,ENSXMAG00000004225,ENSXMAG00000004259,ENSXMAG00000005549,ENSXMAG00000006487,ENSXMAG00000011009,ENSXMAG00000012791,ENSXMAG00000013421,ENSXMAG00000013581,ENSXMAG00000019787,ENSXMAG00000000174,ENSXMAG00000000193,ENSXMAG00000009676,ENSXMAG00000015247	angptl2b,gprc5ba,fli1,fn1a,adgra2,scrib,foxf1,notch1b,jak2a,PITPNM3,ANO6,stk25b,sema3e,vcam1b,frzb,ube3d,myo6a,pkd2,itga9,smo,acvrl1,kdrl,bmal1a,SLC2A1,nr2f1a,ITGA4,nrp2b,f3a,runx1,yap1,tardbpa,npas4a,ntn4,per2,s1pr2,lpar6a,nrarpa,scg2b,isl2a,sox7,bmpr1aa,ADA2,abca1a,itgb1a,ADGRB1,lpar2a,apln,twist1b,rtn4a,nfkb2,flt4,aplnra
GO:0002040	0.0131277994359476	2.23668021825185	8.44527927417068	15	41	sprouting angiogenesis	ENSXMAG00000001821,ENSXMAG00000001857,ENSXMAG00000003079,ENSXMAG00000004021,ENSXMAG00000004318,ENSXMAG00000017903,ENSXMAG00000002497,ENSXMAG00000020266,ENSXMAG00000020354,ENSXMAG00000006487,ENSXMAG00000011009,ENSXMAG00000013581,ENSXMAG00000019787,ENSXMAG00000000174,ENSXMAG00000015247	fn1a,adgra2,foxf1,ANO6,sema3e,SLC2A1,f3a,nrarpa,scg2b,abca1a,itgb1a,apln,twist1b,rtn4a,aplnra
GO:0002066	0.018821205148535	7.72808833678399	1.23589452792742	4	6	columnar/cuboidal epithelial cell development	ENSXMAG00000014181,ENSXMAG00000004439,ENSXMAG00000002246,ENSXMAG00000013819	dhps,WFS1,lepr,gcga
GO:0002068	0.018821205148535	7.72808833678399	1.23589452792742	4	6	glandular epithelial cell development	ENSXMAG00000014181,ENSXMAG00000004439,ENSXMAG00000002246,ENSXMAG00000013819	dhps,WFS1,lepr,gcga
GO:0002221	0.0368010017065195	3.8646408839779	2.05982421321236	5	10	pattern recognition receptor signaling pathway	ENSXMAG00000010749,ENSXMAG00000017731,ENSXMAG00000001788,ENSXMAG00000010772,ENSXMAG00000013367	gpatch3,unc93b1,TLR5,tlr21,tlr18
