"","frame.go_id","frame.gene_name","frame.gene_id","frame.ensembl","frame.Evidence"
"14","GO:0003677","nr1h3",5,"ENSXMAG00000000014","ISA"
"15","GO:0003700","nr1h3",5,"ENSXMAG00000000014","ISA"
"16","GO:0006355","nr1h3",5,"ENSXMAG00000000014","ISA"
"17","GO:0005634","nr1h3",5,"ENSXMAG00000000014","ISA"
"18","GO:0046872","nr1h3",5,"ENSXMAG00000000014","ISA"
"19","GO:0008270","nr1h3",5,"ENSXMAG00000000014","ISA"
"20","GO:0006629","nr1h3",5,"ENSXMAG00000000014","ISA"
"21","GO:0043565","nr1h3",5,"ENSXMAG00000000014","ISA"
"22","GO:0004879","nr1h3",5,"ENSXMAG00000000014","ISA"
"23","GO:0030522","nr1h3",5,"ENSXMAG00000000014","ISA"
"24","GO:0006351","nr1h3",5,"ENSXMAG00000000014","ISA"
"25","GO:0006357","nr1h3",5,"ENSXMAG00000000014","ISA"
"26","GO:0043010","nr1h3",5,"ENSXMAG00000000014","ISA"
"27","GO:1904729","nr1h3",5,"ENSXMAG00000000014","ISA"
"616","GO:0035556","RAPGEF5",282,"ENSXMAG00000000577","ISA"
"617","GO:0005085","RAPGEF5",282,"ENSXMAG00000000577","ISA"
"618","GO:0007264","RAPGEF5",282,"ENSXMAG00000000577","ISA"
"1421","GO:0003676","RBM27",642,"ENSXMAG00000001413","ISA"
"1422","GO:0005634","RBM27",642,"ENSXMAG00000001413","ISA"
"1423","GO:0046872","RBM27",642,"ENSXMAG00000001413","ISA"
"1424","GO:0003723","RBM27",642,"ENSXMAG00000001413","ISA"
"1425","GO:0006397","RBM27",642,"ENSXMAG00000001413","ISA"
"2323","GO:0016853","rpia",1176,"ENSXMAG00000002395","ISA"
"2324","GO:0006098","rpia",1176,"ENSXMAG00000002395","ISA"
"2325","GO:0004751","rpia",1176,"ENSXMAG00000002395","ISA"
"2326","GO:0009052","rpia",1176,"ENSXMAG00000002395","ISA"
"2536","GO:0004576","stt3b",1325,"ENSXMAG00000002661","ISA"
"2537","GO:0016020","stt3b",1325,"ENSXMAG00000002661","ISA"
"2538","GO:0046872","stt3b",1325,"ENSXMAG00000002661","ISA"
"2539","GO:0016740","stt3b",1325,"ENSXMAG00000002661","ISA"
"2540","GO:0016757","stt3b",1325,"ENSXMAG00000002661","ISA"
"2541","GO:0006486","stt3b",1325,"ENSXMAG00000002661","ISA"
"2542","GO:0004579","stt3b",1325,"ENSXMAG00000002661","ISA"
"2586","GO:0007165","gabbr2",1365,"ENSXMAG00000002752","ISA"
"2587","GO:0007186","gabbr2",1365,"ENSXMAG00000002752","ISA"
"2588","GO:0016020","gabbr2",1365,"ENSXMAG00000002752","ISA"
"2589","GO:0005886","gabbr2",1365,"ENSXMAG00000002752","ISA"
"2590","GO:0004930","gabbr2",1365,"ENSXMAG00000002752","ISA"
"2591","GO:0004965","gabbr2",1365,"ENSXMAG00000002752","ISA"
"3342","GO:0006233","dtymk",1899,"ENSXMAG00000003756","ISA"
"3343","GO:0004798","dtymk",1899,"ENSXMAG00000003756","ISA"
"3344","GO:0005524","dtymk",1899,"ENSXMAG00000003756","ISA"
"3345","GO:0046940","dtymk",1899,"ENSXMAG00000003756","ISA"
"3374","GO:0006355","vps72a",1925,"ENSXMAG00000003802","ISA"
"3375","GO:0005634","vps72a",1925,"ENSXMAG00000003802","ISA"
"3376","GO:0006338","vps72a",1925,"ENSXMAG00000003802","ISA"
"3377","GO:0140849","vps72a",1925,"ENSXMAG00000003802","ISA"
"3417","GO:0016740","crata",1962,"ENSXMAG00000003884","ISA"
"3418","GO:0016746","crata",1962,"ENSXMAG00000003884","ISA"
"4784","GO:0005634","zgc:85789",2683,"ENSXMAG00000005320","ISA"
"5352","GO:0007010","GAN",3118,"ENSXMAG00000006216","ISA"
"5353","GO:0005515","GAN",3118,"ENSXMAG00000006216","ISA"
"6433","GO:0046872","calm2a",3717,"ENSXMAG00000007477","ISA"
"6434","GO:0005509","calm2a",3717,"ENSXMAG00000007477","ISA"
"7716","GO:0016020","tmem147",4380,"ENSXMAG00000008830","ISA"
"7717","GO:0005886","tmem147",4380,"ENSXMAG00000008830","ISA"
"7718","GO:0005789","tmem147",4380,"ENSXMAG00000008830","ISA"
"9057","GO:0016020","samd8",5175,"ENSXMAG00000010390","ISA"
"9058","GO:0016740","samd8",5175,"ENSXMAG00000010390","ISA"
"9059","GO:0016780","samd8",5175,"ENSXMAG00000010390","ISA"
"9060","GO:0006665","samd8",5175,"ENSXMAG00000010390","ISA"
"9061","GO:0005515","samd8",5175,"ENSXMAG00000010390","ISA"
"9425","GO:0000287","idh3g",5371,"ENSXMAG00000010795","ISA"
"9426","GO:0005739","idh3g",5371,"ENSXMAG00000010795","ISA"
"9427","GO:0006099","idh3g",5371,"ENSXMAG00000010795","ISA"
"9428","GO:0016616","idh3g",5371,"ENSXMAG00000010795","ISA"
"9429","GO:0051287","idh3g",5371,"ENSXMAG00000010795","ISA"
"11266","GO:0016020","PORCN",6366,"ENSXMAG00000012871","ISA"
"12533","GO:0006886","vps26a",7154,"ENSXMAG00000014529","ISA"
"13195","GO:0005634","GTF2IRD1",7535,"ENSXMAG00000015294","ISA"
"13882","GO:0000166","SEPTIN5",7974,"ENSXMAG00000016115","ISA"
