GOMFID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	GENEID_list	GENENAME_list
GO:0003824	0.00453061807097345	1.791501999392	34.4748982360923	47	3176	catalytic activity	ENSXMAG00000002576,ENSXMAG00000006335,ENSXMAG00000003083,ENSXMAG00000009961,ENSXMAG00000011846,ENSXMAG00000014069,ENSXMAG00000018848,ENSXMAG00000018978,ENSXMAG00000019739,ENSXMAG00000000189,ENSXMAG00000002105,ENSXMAG00000003741,ENSXMAG00000006704,ENSXMAG00000008503,ENSXMAG00000008511,ENSXMAG00000008652,ENSXMAG00000008873,ENSXMAG00000009168,ENSXMAG00000010445,ENSXMAG00000010583,ENSXMAG00000010612,ENSXMAG00000010723,ENSXMAG00000010936,ENSXMAG00000012277,ENSXMAG00000013800,ENSXMAG00000015939,ENSXMAG00000018645,ENSXMAG00000000488,ENSXMAG00000001743,ENSXMAG00000002526,ENSXMAG00000002603,ENSXMAG00000002811,ENSXMAG00000004447,ENSXMAG00000005310,ENSXMAG00000009449,ENSXMAG00000010131,ENSXMAG00000010570,ENSXMAG00000012037,ENSXMAG00000014420,ENSXMAG00000015124,ENSXMAG00000015129,ENSXMAG00000016554,ENSXMAG00000016580,ENSXMAG00000016621,ENSXMAG00000017271,ENSXMAG00000017698,ENSXMAG00000018724	acer1,TNS3,scd,GSTM4,acox3,gtpbp1,cyp4v2a,qsox1,phospho1,gnmt,gatm,agxta,pomt1,KL,aldob,dnase1,pglyrp6,cpb1,pck1,rnf25,prss1,CEL,mlsl,PCYT2,zgc:92040,ptprna,dpydb,pdia2,fah,st3gal7,gamt,mat1a,mtif2,fbp1b,cpa4,hao1,ctrl,pipox,CPA1,si:dkey-266f7.9,RASEF,oat,ela2,ela2l,pah,TYR,DMGDH
GO:0003997	0.0215931311747567	92.1609195402299	0.0217096336499322	1	2	acyl-CoA oxidase activity	ENSXMAG00000011846	acox3
GO:0004180	0.00239165987782411	12.8294117647059	0.271370420624152	3	25	carboxypeptidase activity	ENSXMAG00000009168,ENSXMAG00000009449,ENSXMAG00000014420	cpb1,cpa4,CPA1
GO:0004181	0.00123276885456407	16.6131487889273	0.217096336499322	3	20	metallocarboxypeptidase activity	ENSXMAG00000009168,ENSXMAG00000009449,ENSXMAG00000014420	cpb1,cpa4,CPA1
GO:0004252	0.00309733227718698	7.29578754578755	0.6078697421981	4	56	serine-type endopeptidase activity	ENSXMAG00000010612,ENSXMAG00000010570,ENSXMAG00000016580,ENSXMAG00000016621	prss1,ctrl,ela2,ela2l
GO:0004306	0.0215931311747567	92.1609195402299	0.0217096336499322	1	2	ethanolamine-phosphate cytidylyltransferase activity	ENSXMAG00000012277	PCYT2
GO:0004308	0.0427251841901403	30.7126436781609	0.0434192672998643	1	4	exo-alpha-sialidase activity	ENSXMAG00000002526	st3gal7
GO:0004332	0.0427251841901403	30.7126436781609	0.0434192672998643	1	4	fructose-bisphosphate aldolase activity	ENSXMAG00000008511	aldob
GO:0004334	0.010854816824966	Inf	0.0108548168249661	1	1	fumarylacetoacetase activity	ENSXMAG00000001743	fah
GO:0004474	0.010854816824966	Inf	0.0108548168249661	1	1	malate synthase activity	ENSXMAG00000010936	mlsl
GO:0004478	0.0427251841901403	30.7126436781609	0.0434192672998643	1	4	methionine adenosyltransferase activity	ENSXMAG00000002811	mat1a
GO:0004505	0.010854816824966	Inf	0.0108548168249661	1	1	phenylalanine 4-monooxygenase activity	ENSXMAG00000017271	pah
GO:0004587	0.010854816824966	Inf	0.0108548168249661	1	1	ornithine-oxo-acid transaminase activity	ENSXMAG00000016554	oat
GO:0004611	0.0215931311747567	92.1609195402299	0.0217096336499322	1	2	phosphoenolpyruvate carboxykinase activity	ENSXMAG00000010445	pck1
GO:0004613	0.0215931311747567	92.1609195402299	0.0217096336499322	1	2	phosphoenolpyruvate carboxykinase (GTP) activity	ENSXMAG00000010445	pck1
GO:0004657	0.010854816824966	Inf	0.0108548168249661	1	1	proline dehydrogenase activity	ENSXMAG00000013800	zgc:92040
GO:0004760	0.0215931311747567	92.1609195402299	0.0217096336499322	1	2	serine-pyruvate transaminase activity	ENSXMAG00000003741	agxta
GO:0004995	0.0322161792261597	46.0747126436782	0.0325644504748982	1	3	tachykinin receptor activity	ENSXMAG00000014703	tacr2
GO:0005504	0.0322161792261597	46.0747126436782	0.0325644504748982	1	3	fatty acid binding	ENSXMAG00000011846	acox3
GO:0005542	0.0215931311747567	92.1609195402299	0.0217096336499322	1	2	folic acid binding	ENSXMAG00000000189	gnmt
GO:0008115	0.010854816824966	Inf	0.0108548168249661	1	1	sarcosine oxidase activity	ENSXMAG00000012037	pipox
GO:0008235	0.00629489900488946	8.80919117647059	0.379918588873813	3	35	metalloexopeptidase activity	ENSXMAG00000009168,ENSXMAG00000009449,ENSXMAG00000014420	cpb1,cpa4,CPA1
