GOBPID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	GENEID_list	GENENAME_list
GO:0001666	0.0135371318573709	93.7733333333333	0.0136092996881202	1	16	response to hypoxia	ENSXMAG00000006325	igfbp1a
GO:0001775	0.0235894607894299	52.0074074074074	0.0238162744542104	1	28	cell activation	ENSXMAG00000001428	klf9
GO:0002262	0.0376840245134056	31.8363636363636	0.0382761553728381	1	45	myeloid cell homeostasis	ENSXMAG00000001428	klf9
GO:0006638	0.0059414177367344	234.733333333333	0.00595406861355259	1	7	neutral lipid metabolic process	ENSXMAG00000003849	PNPLA2
GO:0006639	0.0059414177367344	234.733333333333	0.00595406861355259	1	7	acylglycerol metabolic process	ENSXMAG00000003849	PNPLA2
GO:0006641	0.0059414177367344	234.733333333333	0.00595406861355259	1	7	triglyceride metabolic process	ENSXMAG00000003849	PNPLA2
GO:0007601	0.0360346937062381	33.3619047619048	0.0365749929118231	1	43	visual perception	ENSXMAG00000006826	nyx
GO:0007632	0.0101672524344246	127.945454545455	0.0102069747660902	1	12	visual behavior	ENSXMAG00000006826	nyx
GO:0007634	0.00932328533404192	140.76	0.00935639353558265	1	11	optokinetic behavior	ENSXMAG00000006826	nyx
GO:0008283	0.001300779914155	53.7153846153846	0.0569889424440034	2	67	cell population proliferation	ENSXMAG00000006325,ENSXMAG00000001428	igfbp1a,klf9
GO:0008285	0.00339870833494738	469.666666666667	0.00340232492203005	1	4	negative regulation of cell population proliferation	ENSXMAG00000006325	igfbp1a
GO:0009416	0.0467133681272801	25.4290909090909	0.0476325489084208	1	56	response to light stimulus	ENSXMAG00000006826	nyx
GO:0009628	0.00299040405695211	34.74	0.0867592855117664	2	102	response to abiotic stimulus	ENSXMAG00000006325,ENSXMAG00000006826	igfbp1a,nyx
GO:0009894	0.0434381754155657	27.4392156862745	0.0442302239863907	1	52	regulation of catabolic process	ENSXMAG00000003849	PNPLA2
GO:0009896	0.0160582625209261	78.1111111111111	0.0161610433796428	1	19	positive regulation of catabolic process	ENSXMAG00000003849	PNPLA2
GO:0010896	0.00170055946850778	1409.4	0.00170116246101503	1	2	regulation of triglyceride catabolic process	ENSXMAG00000003849	PNPLA2
GO:0010898	0.00170055946850778	1409.4	0.00170116246101503	1	2	positive regulation of triglyceride catabolic process	ENSXMAG00000003849	PNPLA2
GO:0016441	0.0202482143170464	61.0869565217391	0.0204139495321803	1	24	posttranscriptional gene silencing	ENSXMAG00000020483	mir140
GO:0016458	0.0310725604709701	38.9555555555556	0.031471505528778	1	37	gene silencing	ENSXMAG00000020483	mir140
GO:0019216	0.0101672524344246	127.945454545455	0.0102069747660902	1	12	regulation of lipid metabolic process	ENSXMAG00000003849	PNPLA2
GO:0019433	0.00339870833494738	469.666666666667	0.00340232492203005	1	4	triglyceride catabolic process	ENSXMAG00000003849	PNPLA2
GO:0021700	0.022755040730284	54.0153846153846	0.0229656932237029	1	27	developmental maturation	ENSXMAG00000001428	klf9
GO:0030218	0.034383007890044	35.04	0.0348738304508081	1	41	erythrocyte differentiation	ENSXMAG00000001428	klf9
GO:0031047	0.02941379348253	41.2588235294118	0.029770343067763	1	35	gene silencing by RNA	ENSXMAG00000020483	mir140
GO:0031099	0.0434381754155657	27.4392156862745	0.0442302239863907	1	52	regeneration	ENSXMAG00000006325	igfbp1a
GO:0031329	0.0393310029985701	30.4434782608696	0.0399773178338531	1	47	regulation of cellular catabolic process	ENSXMAG00000003849	PNPLA2
GO:0031331	0.0160582625209261	78.1111111111111	0.0161610433796428	1	19	positive regulation of cellular catabolic process	ENSXMAG00000003849	PNPLA2
GO:0032943	0.00085058123050763	Inf	0.000850581230507513	1	1	mononuclear cell proliferation	ENSXMAG00000001428	klf9
GO:0034101	0.034383007890044	35.04	0.0348738304508081	1	41	erythrocyte homeostasis	ENSXMAG00000001428	klf9
