"","frame.go_id","frame.gene_name","frame.gene_id","frame.ensembl","frame.Evidence"
"1082","GO:0005634","cdkn1a",495,"ENSXMAG00000001096","ISA"
"1083","GO:0051726","cdkn1a",495,"ENSXMAG00000001096","ISA"
"1084","GO:0004861","cdkn1a",495,"ENSXMAG00000001096","ISA"
"1085","GO:0072331","cdkn1a",495,"ENSXMAG00000001096","ISA"
"1086","GO:0007346","cdkn1a",495,"ENSXMAG00000001096","ISA"
"1087","GO:0007519","cdkn1a",495,"ENSXMAG00000001096","ISA"
"1088","GO:0010165","cdkn1a",495,"ENSXMAG00000001096","ISA"
"1089","GO:0035904","cdkn1a",495,"ENSXMAG00000001096","ISA"
"1090","GO:0035914","cdkn1a",495,"ENSXMAG00000001096","ISA"
"1091","GO:0004860","cdkn1a",495,"ENSXMAG00000001096","ISA"
"1092","GO:0051171","cdkn1a",495,"ENSXMAG00000001096","ISA"
"1093","GO:0060255","cdkn1a",495,"ENSXMAG00000001096","ISA"
"1094","GO:0080090","cdkn1a",495,"ENSXMAG00000001096","ISA"
"3281","GO:0016020","mbtps2",1851,"ENSXMAG00000003675","ISA"
"3282","GO:0004222","mbtps2",1851,"ENSXMAG00000003675","ISA"
"3283","GO:0006508","mbtps2",1851,"ENSXMAG00000003675","ISA"
"3284","GO:0005515","mbtps2",1851,"ENSXMAG00000003675","ISA"
"4207","GO:0016020","NAALADL2",2420,"ENSXMAG00000004767","ISA"
"4546","GO:0005085","arhgef39",2561,"ENSXMAG00000005072","ISA"
"5162","GO:0016020","SORL1",2975,"ENSXMAG00000005898","ISA"
"5163","GO:0005886","SORL1",2975,"ENSXMAG00000005898","ISA"
"5164","GO:0000139","SORL1",2975,"ENSXMAG00000005898","ISA"
"5165","GO:0005794","SORL1",2975,"ENSXMAG00000005898","ISA"
"5166","GO:0005783","SORL1",2975,"ENSXMAG00000005898","ISA"
"5167","GO:0005576","SORL1",2975,"ENSXMAG00000005898","ISA"
"5168","GO:0031410","SORL1",2975,"ENSXMAG00000005898","ISA"
"5169","GO:0005789","SORL1",2975,"ENSXMAG00000005898","ISA"
"5170","GO:0005768","SORL1",2975,"ENSXMAG00000005898","ISA"
"5171","GO:0006897","SORL1",2975,"ENSXMAG00000005898","ISA"
"5172","GO:0010008","SORL1",2975,"ENSXMAG00000005898","ISA"
"5173","GO:0031901","SORL1",2975,"ENSXMAG00000005898","ISA"
"5174","GO:0005515","SORL1",2975,"ENSXMAG00000005898","ISA"
"5175","GO:0030658","SORL1",2975,"ENSXMAG00000005898","ISA"
"5176","GO:0055038","SORL1",2975,"ENSXMAG00000005898","ISA"
"5177","GO:0032585","SORL1",2975,"ENSXMAG00000005898","ISA"
"5578","GO:0016020","SGCZ",3241,"ENSXMAG00000006485","ISA"
"5579","GO:0005856","SGCZ",3241,"ENSXMAG00000006485","ISA"
"5580","GO:0016012","SGCZ",3241,"ENSXMAG00000006485","ISA"
"5581","GO:0042383","SGCZ",3241,"ENSXMAG00000006485","ISA"
"6899","GO:0006955","vtnb",3902,"ENSXMAG00000007836","ISA"
"6900","GO:0005044","vtnb",3902,"ENSXMAG00000007836","ISA"
"6901","GO:0006897","vtnb",3902,"ENSXMAG00000007836","ISA"
"6902","GO:0030247","vtnb",3902,"ENSXMAG00000007836","ISA"
"6903","GO:0110165","vtnb",3902,"ENSXMAG00000007836","ISA"
"6940","GO:0000166","ZRANB3",3924,"ENSXMAG00000007875","ISA"
"6941","GO:0003676","ZRANB3",3924,"ENSXMAG00000007875","ISA"
"6942","GO:0005524","ZRANB3",3924,"ENSXMAG00000007875","ISA"
"6943","GO:0046872","ZRANB3",3924,"ENSXMAG00000007875","ISA"
"6944","GO:0004519","ZRANB3",3924,"ENSXMAG00000007875","ISA"
"6945","GO:0140658","ZRANB3",3924,"ENSXMAG00000007875","ISA"
"6946","GO:0006338","ZRANB3",3924,"ENSXMAG00000007875","ISA"
"6947","GO:2000674","ZRANB3",3924,"ENSXMAG00000007875","ISA"
"9725","GO:0005515","si:ch211-154o6.3",5489,"ENSXMAG00000011041","ISA"
"10887","GO:0016020","ddost",6146,"ENSXMAG00000012411","ISA"
"10888","GO:0005783","ddost",6146,"ENSXMAG00000012411","ISA"
"10889","GO:0005789","ddost",6146,"ENSXMAG00000012411","ISA"
"10890","GO:0006486","ddost",6146,"ENSXMAG00000012411","ISA"
"10891","GO:0018279","ddost",6146,"ENSXMAG00000012411","ISA"
"10997","GO:0035556","socs3a",6198,"ENSXMAG00000012512","ISA"
"10998","GO:0016567","socs3a",6198,"ENSXMAG00000012512","ISA"
"10999","GO:0031099","socs3a",6198,"ENSXMAG00000012512","ISA"
"11000","GO:0035677","socs3a",6198,"ENSXMAG00000012512","ISA"
"11001","GO:0048681","socs3a",6198,"ENSXMAG00000012512","ISA"
"11002","GO:0060042","socs3a",6198,"ENSXMAG00000012512","ISA"
"11003","GO:0009968","socs3a",6198,"ENSXMAG00000012512","ISA"
"11004","GO:0008283","socs3a",6198,"ENSXMAG00000012512","ISA"
"11005","GO:0070365","socs3a",6198,"ENSXMAG00000012512","ISA"
"11071","GO:0005737","klhl21",6236,"ENSXMAG00000012605","ISA"
"11072","GO:0005856","klhl21",6236,"ENSXMAG00000012605","ISA"
"11073","GO:0016567","klhl21",6236,"ENSXMAG00000012605","ISA"
"11074","GO:0007049","klhl21",6236,"ENSXMAG00000012605","ISA"
"11075","GO:0051301","klhl21",6236,"ENSXMAG00000012605","ISA"
"11076","GO:0005819","klhl21",6236,"ENSXMAG00000012605","ISA"
"11077","GO:0005515","klhl21",6236,"ENSXMAG00000012605","ISA"
"11152","GO:0000166","MAPK13",6288,"ENSXMAG00000012699","ISA"
"11153","GO:0004672","MAPK13",6288,"ENSXMAG00000012699","ISA"
"11154","GO:0005524","MAPK13",6288,"ENSXMAG00000012699","ISA"
"11155","GO:0006468","MAPK13",6288,"ENSXMAG00000012699","ISA"
"11156","GO:0016301","MAPK13",6288,"ENSXMAG00000012699","ISA"
"11157","GO:0016740","MAPK13",6288,"ENSXMAG00000012699","ISA"
"11158","GO:0016310","MAPK13",6288,"ENSXMAG00000012699","ISA"
"11159","GO:0004674","MAPK13",6288,"ENSXMAG00000012699","ISA"
"11160","GO:0000165","MAPK13",6288,"ENSXMAG00000012699","ISA"
"11161","GO:0004707","MAPK13",6288,"ENSXMAG00000012699","ISA"
"11855","GO:0005615","c3b.2",6734,"ENSXMAG00000013660","ISA"
"11856","GO:0005576","c3b.2",6734,"ENSXMAG00000013660","ISA"
"11857","GO:0004866","c3b.2",6734,"ENSXMAG00000013660","ISA"
"11858","GO:0005515","c3b.2",6734,"ENSXMAG00000013660","ISA"
"14457","GO:0016740","hs3st1l2",8329,"ENSXMAG00000016817","ISA"
"14458","GO:0008146","hs3st1l2",8329,"ENSXMAG00000016817","ISA"
"14459","GO:0060271","hs3st1l2",8329,"ENSXMAG00000016817","ISA"
"15765","GO:0005524","smc4",9058,"ENSXMAG00000018289","ISA"
"15766","GO:0005634","smc4",9058,"ENSXMAG00000018289","ISA"
"15767","GO:0016887","smc4",9058,"ENSXMAG00000018289","ISA"
"15768","GO:0005694","smc4",9058,"ENSXMAG00000018289","ISA"
"15769","GO:0007049","smc4",9058,"ENSXMAG00000018289","ISA"
"15770","GO:0051276","smc4",9058,"ENSXMAG00000018289","ISA"
"15771","GO:0005515","smc4",9058,"ENSXMAG00000018289","ISA"
"15775","GO:0005634","mphosph10",9062,"ENSXMAG00000018298","ISA"
"15776","GO:0006364","mphosph10",9062,"ENSXMAG00000018298","ISA"
"15777","GO:0042254","mphosph10",9062,"ENSXMAG00000018298","ISA"
"15778","GO:0005730","mphosph10",9062,"ENSXMAG00000018298","ISA"
"15779","GO:0005732","mphosph10",9062,"ENSXMAG00000018298","ISA"
"15780","GO:1990904","mphosph10",9062,"ENSXMAG00000018298","ISA"
"15781","GO:0034457","mphosph10",9062,"ENSXMAG00000018298","ISA"
"15782","GO:0055123","mphosph10",9062,"ENSXMAG00000018298","ISA"
"16567","GO:0016491","MTRR",9522,"ENSXMAG00000019194","ISA"
"16568","GO:0010181","MTRR",9522,"ENSXMAG00000019194","ISA"
"17337","GO:0050896","rspo4",134,"ENSXMAG00000000286","ISA"
"17338","GO:0016055","rspo4",134,"ENSXMAG00000000286","ISA"
"17339","GO:0008201","rspo4",134,"ENSXMAG00000000286","ISA"
"17838","GO:0014065","NYAP2",400,"ENSXMAG00000000867","ISA"
"17839","GO:0048812","NYAP2",400,"ENSXMAG00000000867","ISA"
"18294","GO:0016020","slc35c1",670,"ENSXMAG00000001466","ISA"
"18395","GO:0000166","hspa4a",748,"ENSXMAG00000001608","ISA"
"18396","GO:0005524","hspa4a",748,"ENSXMAG00000001608","ISA"
"18397","GO:0006457","hspa4a",748,"ENSXMAG00000001608","ISA"
"18398","GO:0140662","hspa4a",748,"ENSXMAG00000001608","ISA"
"18514","GO:0016020","alcamb",794,"ENSXMAG00000001715","ISA"
"18515","GO:0042802","alcamb",794,"ENSXMAG00000001715","ISA"
"18516","GO:0021885","alcamb",794,"ENSXMAG00000001715","ISA"
"18517","GO:0031290","alcamb",794,"ENSXMAG00000001715","ISA"
"18518","GO:0060385","alcamb",794,"ENSXMAG00000001715","ISA"
"18519","GO:0030424","alcamb",794,"ENSXMAG00000001715","ISA"
"18579","GO:0000166","pik3c3",844,"ENSXMAG00000001808","ISA"
"18580","GO:0005524","pik3c3",844,"ENSXMAG00000001808","ISA"
"18581","GO:0016301","pik3c3",844,"ENSXMAG00000001808","ISA"
"18582","GO:0016740","pik3c3",844,"ENSXMAG00000001808","ISA"
"18583","GO:0016310","pik3c3",844,"ENSXMAG00000001808","ISA"
"18584","GO:0046854","pik3c3",844,"ENSXMAG00000001808","ISA"
"18585","GO:0048015","pik3c3",844,"ENSXMAG00000001808","ISA"
"18586","GO:0036092","pik3c3",844,"ENSXMAG00000001808","ISA"
"18587","GO:0016303","pik3c3",844,"ENSXMAG00000001808","ISA"
"18675","GO:0003824","AADAT",891,"ENSXMAG00000001887","ISA"
"18676","GO:0030170","AADAT",891,"ENSXMAG00000001887","ISA"
"18677","GO:0009058","AADAT",891,"ENSXMAG00000001887","ISA"
"18752","GO:0015031","vps33a",942,"ENSXMAG00000001988","ISA"
"18753","GO:0016192","vps33a",942,"ENSXMAG00000001988","ISA"
"18754","GO:0005765","vps33a",942,"ENSXMAG00000001988","ISA"
"18755","GO:0031902","vps33a",942,"ENSXMAG00000001988","ISA"
"18756","GO:0010008","vps33a",942,"ENSXMAG00000001988","ISA"
"18915","GO:0003677","zeb2a",1021,"ENSXMAG00000002123","ISA"
"18916","GO:0005634","zeb2a",1021,"ENSXMAG00000002123","ISA"
"18917","GO:0000122","zeb2a",1021,"ENSXMAG00000002123","ISA"
"18918","GO:0044271","zeb2a",1021,"ENSXMAG00000002123","ISA"
"19704","GO:0004672","GAK",1468,"ENSXMAG00000002958","ISA"
"19705","GO:0005524","GAK",1468,"ENSXMAG00000002958","ISA"
"19706","GO:0006468","GAK",1468,"ENSXMAG00000002958","ISA"
"19707","GO:0005737","GAK",1468,"ENSXMAG00000002958","ISA"
"19886","GO:0000166","abl2",1603,"ENSXMAG00000003197","ISA"
"19887","GO:0004672","abl2",1603,"ENSXMAG00000003197","ISA"
"19888","GO:0005524","abl2",1603,"ENSXMAG00000003197","ISA"
"19889","GO:0006468","abl2",1603,"ENSXMAG00000003197","ISA"
"19890","GO:0004713","abl2",1603,"ENSXMAG00000003197","ISA"
"19891","GO:0016301","abl2",1603,"ENSXMAG00000003197","ISA"
"19892","GO:0016740","abl2",1603,"ENSXMAG00000003197","ISA"
"19893","GO:0016310","abl2",1603,"ENSXMAG00000003197","ISA"
"19894","GO:0004715","abl2",1603,"ENSXMAG00000003197","ISA"
"19895","GO:0005515","abl2",1603,"ENSXMAG00000003197","ISA"
"19896","GO:0023052","abl2",1603,"ENSXMAG00000003197","ISA"
"19934","GO:0016020","PCDH12",1628,"ENSXMAG00000003252","ISA"
"19935","GO:0007155","PCDH12",1628,"ENSXMAG00000003252","ISA"
"19936","GO:0005509","PCDH12",1628,"ENSXMAG00000003252","ISA"
"19937","GO:0007156","PCDH12",1628,"ENSXMAG00000003252","ISA"
"19938","GO:0005886","PCDH12",1628,"ENSXMAG00000003252","ISA"
"20432","GO:0006955","il10",1895,"ENSXMAG00000003745","ISA"
