"","frame.go_id","frame.gene_name","frame.gene_id","frame.ensembl","frame.Evidence"
"110","GO:0005634","cenpk",61,"ENSXMAG00000000139","ISA"
"111","GO:0005694","cenpk",61,"ENSXMAG00000000139","ISA"
"112","GO:0000775","cenpk",61,"ENSXMAG00000000139","ISA"
"113","GO:0051382","cenpk",61,"ENSXMAG00000000139","ISA"
"157","GO:0003676","raver1",102,"ENSXMAG00000000217","ISA"
"158","GO:0003723","raver1",102,"ENSXMAG00000000217","ISA"
"306","GO:1901739","plekho1b",155,"ENSXMAG00000000332","ISA"
"401","GO:0035246","prmt5",216,"ENSXMAG00000000469","ISA"
"402","GO:0005634","prmt5",216,"ENSXMAG00000000469","ISA"
"403","GO:0005737","prmt5",216,"ENSXMAG00000000469","ISA"
"404","GO:0016740","prmt5",216,"ENSXMAG00000000469","ISA"
"405","GO:0008168","prmt5",216,"ENSXMAG00000000469","ISA"
"406","GO:0032259","prmt5",216,"ENSXMAG00000000469","ISA"
"407","GO:0006479","prmt5",216,"ENSXMAG00000000469","ISA"
"408","GO:0005829","prmt5",216,"ENSXMAG00000000469","ISA"
"409","GO:0048511","prmt5",216,"ENSXMAG00000000469","ISA"
"410","GO:0008469","prmt5",216,"ENSXMAG00000000469","ISA"
"411","GO:0035243","prmt5",216,"ENSXMAG00000000469","ISA"
"412","GO:0018216","prmt5",216,"ENSXMAG00000000469","ISA"
"413","GO:0016274","prmt5",216,"ENSXMAG00000000469","ISA"
"414","GO:0006338","prmt5",216,"ENSXMAG00000000469","ISA"
"709","GO:0005515","chadlb",309,"ENSXMAG00000000655","ISA"
"769","GO:0005743","sco1",348,"ENSXMAG00000000745","ISA"
"833","GO:0016020","vapal",376,"ENSXMAG00000000805","ISA"
"834","GO:0005789","vapal",376,"ENSXMAG00000000805","ISA"
"1072","GO:0016020","slc37a4a",492,"ENSXMAG00000001093","ISA"
"1073","GO:0055085","slc37a4a",492,"ENSXMAG00000001093","ISA"
"1074","GO:0022857","slc37a4a",492,"ENSXMAG00000001093","ISA"
"1075","GO:0048545","slc37a4a",492,"ENSXMAG00000001093","ISA"
"1232","GO:0016020","IGDCC3",548,"ENSXMAG00000001217","ISA"
"1233","GO:0005515","IGDCC3",548,"ENSXMAG00000001217","ISA"
"1458","GO:0000398","snrpa1",663,"ENSXMAG00000001455","ISA"
"1459","GO:0006397","snrpa1",663,"ENSXMAG00000001455","ISA"
"1460","GO:0005515","snrpa1",663,"ENSXMAG00000001455","ISA"
"1461","GO:0030620","snrpa1",663,"ENSXMAG00000001455","ISA"
"1509","GO:0007165","ARHGAP26",709,"ENSXMAG00000001526","ISA"
"1510","GO:0005737","ARHGAP26",709,"ENSXMAG00000001526","ISA"
"1511","GO:0005096","ARHGAP26",709,"ENSXMAG00000001526","ISA"
"1512","GO:0005515","ARHGAP26",709,"ENSXMAG00000001526","ISA"
"1604","GO:0006457","dnajc25",760,"ENSXMAG00000001633","ISA"
"1731","GO:0007049","anapc10",826,"ENSXMAG00000001772","ISA"
"1732","GO:0051301","anapc10",826,"ENSXMAG00000001772","ISA"
"1733","GO:0005680","anapc10",826,"ENSXMAG00000001772","ISA"
"1734","GO:0031145","anapc10",826,"ENSXMAG00000001772","ISA"
"1864","GO:0005634","gins4",885,"ENSXMAG00000001879","ISA"
"1865","GO:0005694","gins4",885,"ENSXMAG00000001879","ISA"
"1866","GO:0006260","gins4",885,"ENSXMAG00000001879","ISA"
"1867","GO:0006261","gins4",885,"ENSXMAG00000001879","ISA"
"1912","GO:0006355","MN1",903,"ENSXMAG00000001915","ISA"
"1974","GO:0016020","tmem177",924,"ENSXMAG00000001961","ISA"
"2015","GO:0016020","pigm",948,"ENSXMAG00000001999","ISA"
"2016","GO:0016740","pigm",948,"ENSXMAG00000001999","ISA"
"2017","GO:0016757","pigm",948,"ENSXMAG00000001999","ISA"
"2018","GO:0005783","pigm",948,"ENSXMAG00000001999","ISA"
"2019","GO:0006506","pigm",948,"ENSXMAG00000001999","ISA"
"2020","GO:0005789","pigm",948,"ENSXMAG00000001999","ISA"
"2021","GO:0004376","pigm",948,"ENSXMAG00000001999","ISA"
