"","frame.go_id","frame.gene_name","frame.gene_id","frame.ensembl","frame.Evidence"
"24967","GO:0005634","STAG1",4579,"ENSXMAG00000009241","ISA"
"24968","GO:0005694","STAG1",4579,"ENSXMAG00000009241","ISA"
"24969","GO:0007049","STAG1",4579,"ENSXMAG00000009241","ISA"
"24970","GO:0051301","STAG1",4579,"ENSXMAG00000009241","ISA"
"24971","GO:0000775","STAG1",4579,"ENSXMAG00000009241","ISA"
"24972","GO:0007059","STAG1",4579,"ENSXMAG00000009241","ISA"
"24973","GO:0000785","STAG1",4579,"ENSXMAG00000009241","ISA"
"24974","GO:0007062","STAG1",4579,"ENSXMAG00000009241","ISA"
"24975","GO:0008278","STAG1",4579,"ENSXMAG00000009241","ISA"
"25252","GO:0046872","lias",4755,"ENSXMAG00000009594","ISA"
"25253","GO:0003824","lias",4755,"ENSXMAG00000009594","ISA"
"25254","GO:0016740","lias",4755,"ENSXMAG00000009594","ISA"
"25255","GO:0005739","lias",4755,"ENSXMAG00000009594","ISA"
"25256","GO:0051536","lias",4755,"ENSXMAG00000009594","ISA"
"25257","GO:0051539","lias",4755,"ENSXMAG00000009594","ISA"
"25258","GO:0016783","lias",4755,"ENSXMAG00000009594","ISA"
"25259","GO:0016992","lias",4755,"ENSXMAG00000009594","ISA"
"25260","GO:0009107","lias",4755,"ENSXMAG00000009594","ISA"
"25261","GO:0009249","lias",4755,"ENSXMAG00000009594","ISA"
"34815","GO:0005515","gipc2",484,"ENSXMAG00000001081","ISA"
"34816","GO:0002040","gipc2",484,"ENSXMAG00000001081","ISA"
"40952","GO:0016020","CLSTN2",4156,"ENSXMAG00000008362","ISA"
"40953","GO:0000139","CLSTN2",4156,"ENSXMAG00000008362","ISA"
"40954","GO:0005794","CLSTN2",4156,"ENSXMAG00000008362","ISA"
"40955","GO:0005509","CLSTN2",4156,"ENSXMAG00000008362","ISA"
"40956","GO:0005783","CLSTN2",4156,"ENSXMAG00000008362","ISA"
"40957","GO:0007156","CLSTN2",4156,"ENSXMAG00000008362","ISA"
"40958","GO:0042995","CLSTN2",4156,"ENSXMAG00000008362","ISA"
"40959","GO:0045202","CLSTN2",4156,"ENSXMAG00000008362","ISA"
"40960","GO:0001540","CLSTN2",4156,"ENSXMAG00000008362","ISA"
"40961","GO:0019894","CLSTN2",4156,"ENSXMAG00000008362","ISA"
"40962","GO:0042988","CLSTN2",4156,"ENSXMAG00000008362","ISA"
"44183","GO:0017110","cant1a",6127,"ENSXMAG00000012376","ISA"
"44184","GO:0016020","cant1a",6127,"ENSXMAG00000012376","ISA"
"44185","GO:0016787","cant1a",6127,"ENSXMAG00000012376","ISA"
"44186","GO:0005509","cant1a",6127,"ENSXMAG00000012376","ISA"
"49951","GO:0015031","sec13",9610,"ENSXMAG00000019356","ISA"
"49952","GO:0005198","sec13",9610,"ENSXMAG00000019356","ISA"
"49953","GO:0005764","sec13",9610,"ENSXMAG00000019356","ISA"
"49954","GO:0005765","sec13",9610,"ENSXMAG00000019356","ISA"
"49955","GO:0001889","sec13",9610,"ENSXMAG00000019356","ISA"
"49956","GO:0007029","sec13",9610,"ENSXMAG00000019356","ISA"
"49957","GO:0010842","sec13",9610,"ENSXMAG00000019356","ISA"
"49958","GO:0036372","sec13",9610,"ENSXMAG00000019356","ISA"
"49959","GO:0042462","sec13",9610,"ENSXMAG00000019356","ISA"
"49960","GO:0051216","sec13",9610,"ENSXMAG00000019356","ISA"
"49961","GO:0055123","sec13",9610,"ENSXMAG00000019356","ISA"
"49962","GO:0070278","sec13",9610,"ENSXMAG00000019356","ISA"
"49963","GO:0070971","sec13",9610,"ENSXMAG00000019356","ISA"
"49964","GO:0005515","sec13",9610,"ENSXMAG00000019356","ISA"
"52984","GO:0007605","ripor2",1776,"ENSXMAG00000003539","ISA"
"52985","GO:0048741","ripor2",1776,"ENSXMAG00000003539","ISA"
"55662","GO:0016020","flot2b",3466,"ENSXMAG00000006956","ISA"
"55663","GO:0005768","flot2b",3466,"ENSXMAG00000006956","ISA"
"55952","GO:0005515","rwdd2b",3646,"ENSXMAG00000007320","ISA"
"56079","GO:0016020","tmem185",3782,"ENSXMAG00000007583","ISA"
"59281","GO:0005977","PHKB",5994,"ENSXMAG00000012078","ISA"
"59282","GO:0016020","PHKB",5994,"ENSXMAG00000012078","ISA"
"59283","GO:0005886","PHKB",5994,"ENSXMAG00000012078","ISA"
"59284","GO:0005975","PHKB",5994,"ENSXMAG00000012078","ISA"
"59285","GO:0005516","PHKB",5994,"ENSXMAG00000012078","ISA"
"64358","GO:0005737","ARHGEF18",9225,"ENSXMAG00000018641","ISA"
"64359","GO:0046872","ARHGEF18",9225,"ENSXMAG00000018641","ISA"
"64360","GO:0005085","ARHGEF18",9225,"ENSXMAG00000018641","ISA"
"64361","GO:0048468","ARHGEF18",9225,"ENSXMAG00000018641","ISA"
