GOBPID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	GENEID_list	GENENAME_list
GO:0001774	0.00384181541227972	53.5196850393701	0.108874397504962	2	3	microglial cell activation	ENSXMAG00000012930,ENSXMAG00000016952	sgsh,grnb
GO:0001885	0.012201114019495	17.8346456692913	0.181457329174936	2	5	endothelial cell development	ENSXMAG00000005012,ENSXMAG00000012748	ilk,slc2a1a
GO:0002274	0.012201114019495	17.8346456692913	0.181457329174936	2	5	myeloid leukocyte activation	ENSXMAG00000012930,ENSXMAG00000016952	sgsh,grnb
GO:0002695	0.0362914658349867	Inf	0.0362914658349872	1	1	negative regulation of leukocyte activation	ENSXMAG00000016952	grnb
GO:0003158	0.0257465936306106	5.36205533596838	0.65324638502977	3	18	endothelium development	ENSXMAG00000005012,ENSXMAG00000019239,ENSXMAG00000012748	ilk,RASA3,slc2a1a
GO:0003211	0.0362914658349867	Inf	0.0362914658349872	1	1	cardiac ventricle formation	ENSXMAG00000005012	ilk
GO:0005984	0.0362914658349867	Inf	0.0362914658349872	1	1	disaccharide metabolic process	ENSXMAG00000007609	TREH
GO:0005991	0.0362914658349867	Inf	0.0362914658349872	1	1	trehalose metabolic process	ENSXMAG00000007609	TREH
GO:0006022	0.0127772982294019	7.31620553359684	0.508080521689821	3	14	aminoglycan metabolic process	ENSXMAG00000002985,ENSXMAG00000011616,ENSXMAG00000015102	ITIH5,uxs1,NDST2
GO:0006023	0.0178661467901014	13.3740157480315	0.217748795009923	2	6	aminoglycan biosynthetic process	ENSXMAG00000011616,ENSXMAG00000015102	uxs1,NDST2
GO:0006024	0.0178661467901014	13.3740157480315	0.217748795009923	2	6	glycosaminoglycan biosynthetic process	ENSXMAG00000011616,ENSXMAG00000015102	uxs1,NDST2
GO:0006029	0.0103118520919572	8.04901185770751	0.471789055854834	3	13	proteoglycan metabolic process	ENSXMAG00000011616,ENSXMAG00000012930,ENSXMAG00000015102	uxs1,sgsh,NDST2
GO:0006474	0.0362914658349867	Inf	0.0362914658349872	1	1	N-terminal protein amino acid acetylation	ENSXMAG00000016788	naa35
GO:0006811	0.0428068716521552	1.50518341307815	17.4561950666289	25	481	ion transport	ENSXMAG00000001952,ENSXMAG00000008816,ENSXMAG00000009093,ENSXMAG00000010036,ENSXMAG00000011085,ENSXMAG00000011342,ENSXMAG00000011549,ENSXMAG00000012666,ENSXMAG00000015183,ENSXMAG00000015757,ENSXMAG00000017480,ENSXMAG00000019504,ENSXMAG00000001242,ENSXMAG00000003135,ENSXMAG00000008529,ENSXMAG00000011163,ENSXMAG00000012082,ENSXMAG00000013261,ENSXMAG00000013969,ENSXMAG00000015467,ENSXMAG00000005116,ENSXMAG00000006478,ENSXMAG00000010334,ENSXMAG00000010347,ENSXMAG00000012311	kcnq2a,GRIK4,slc25a38a,chrnb3b,ATP1B2,cacna2d1a,slc9a2,KCNJ2,kcnd1,trpm2,slc7a2,kcnd2,CNGA4,tmem266,gria4b,CACNA2D4,kcnk9,scn1ba,CACNA1A,GABRG1,slc8a4a,mcoln1a,trpa1b,GABRG3,KCNQ2
GO:0006813	0.0444344548488221	2.27439880001935	3.26623192514885	7	90	potassium ion transport	ENSXMAG00000001952,ENSXMAG00000011085,ENSXMAG00000012666,ENSXMAG00000015183,ENSXMAG00000019504,ENSXMAG00000012082,ENSXMAG00000012311	kcnq2a,ATP1B2,KCNJ2,kcnd1,kcnd2,kcnk9,KCNQ2
GO:0007155	0.0222697086441434	2.04036885245902	6.24213212361781	12	172	cell adhesion	ENSXMAG00000000479,ENSXMAG00000005012,ENSXMAG00000013150,ENSXMAG00000017574,ENSXMAG00000017738,ENSXMAG00000019342,ENSXMAG00000000990,ENSXMAG00000007837,ENSXMAG00000009921,ENSXMAG00000018416,ENSXMAG00000016380,ENSXMAG00000020238	itga11a,ilk,cdh17,parvb,CTNND1,CELSR3,celsr2,pcdh15b,cdh4,cdh15,spp1,f2r
