"","frame.go_id","frame.gene_name","frame.gene_id","frame.ensembl","frame.Evidence"
"1853","GO:0001736","intu",882,"ENSXMAG00000001874","ISA"
"1854","GO:0005737","intu",882,"ENSXMAG00000001874","ISA"
"1855","GO:0016192","intu",882,"ENSXMAG00000001874","ISA"
"1856","GO:0009986","intu",882,"ENSXMAG00000001874","ISA"
"1857","GO:0030030","intu",882,"ENSXMAG00000001874","ISA"
"1858","GO:0042995","intu",882,"ENSXMAG00000001874","ISA"
"1859","GO:0060271","intu",882,"ENSXMAG00000001874","ISA"
"1860","GO:0005515","intu",882,"ENSXMAG00000001874","ISA"
"2644","GO:0005049","XPO5",1426,"ENSXMAG00000002870","ISA"
"2645","GO:0006611","XPO5",1426,"ENSXMAG00000002870","ISA"
"2646","GO:0071702","XPO5",1426,"ENSXMAG00000002870","ISA"
"2647","GO:0006913","XPO5",1426,"ENSXMAG00000002870","ISA"
"2648","GO:0033036","XPO5",1426,"ENSXMAG00000002870","ISA"
"3897","GO:0005085","arhgef7b",2277,"ENSXMAG00000004492","ISA"
"3898","GO:0005515","arhgef7b",2277,"ENSXMAG00000004492","ISA"
"3899","GO:0030027","arhgef7b",2277,"ENSXMAG00000004492","ISA"
"3900","GO:0110165","arhgef7b",2277,"ENSXMAG00000004492","ISA"
"5389","GO:0003677","e2f7",3131,"ENSXMAG00000006252","ISA"
"5390","GO:0006355","e2f7",3131,"ENSXMAG00000006252","ISA"
"5391","GO:0005634","e2f7",3131,"ENSXMAG00000006252","ISA"
"5392","GO:0005667","e2f7",3131,"ENSXMAG00000006252","ISA"
"5393","GO:0006357","e2f7",3131,"ENSXMAG00000006252","ISA"
"5394","GO:0000978","e2f7",3131,"ENSXMAG00000006252","ISA"
"5395","GO:0003700","e2f7",3131,"ENSXMAG00000006252","ISA"
"5396","GO:0001946","e2f7",3131,"ENSXMAG00000006252","ISA"
"5397","GO:0002040","e2f7",3131,"ENSXMAG00000006252","ISA"
"5398","GO:0008045","e2f7",3131,"ENSXMAG00000006252","ISA"
"5399","GO:0045892","e2f7",3131,"ENSXMAG00000006252","ISA"
"5400","GO:0045944","e2f7",3131,"ENSXMAG00000006252","ISA"
"9408","GO:0005509","megf6",5348,"ENSXMAG00000010755","ISA"
"9409","GO:0005515","megf6",5348,"ENSXMAG00000010755","ISA"
"9410","GO:0048513","megf6",5348,"ENSXMAG00000010755","ISA"
"10017","GO:0016020","lrp8",5649,"ENSXMAG00000011361","ISA"
"10018","GO:0005509","lrp8",5649,"ENSXMAG00000011361","ISA"
"10019","GO:0006897","lrp8",5649,"ENSXMAG00000011361","ISA"
"10020","GO:0005515","lrp8",5649,"ENSXMAG00000011361","ISA"
"10021","GO:0048513","lrp8",5649,"ENSXMAG00000011361","ISA"
"10074","GO:0003676","RBMS1",5673,"ENSXMAG00000011405","ISA"
"10075","GO:0003723","RBMS1",5673,"ENSXMAG00000011405","ISA"
"10076","GO:1990904","RBMS1",5673,"ENSXMAG00000011405","ISA"
"10617","GO:0003677","gabpa",5990,"ENSXMAG00000012068","ISA"
"10618","GO:0003700","gabpa",5990,"ENSXMAG00000012068","ISA"
"10619","GO:0006355","gabpa",5990,"ENSXMAG00000012068","ISA"
"10620","GO:0005634","gabpa",5990,"ENSXMAG00000012068","ISA"
"10621","GO:0006357","gabpa",5990,"ENSXMAG00000012068","ISA"
"10622","GO:0043565","gabpa",5990,"ENSXMAG00000012068","ISA"
"14659","GO:0005634","naa40",8458,"ENSXMAG00000017041","ISA"
"14660","GO:0005737","naa40",8458,"ENSXMAG00000017041","ISA"
"14661","GO:0016740","naa40",8458,"ENSXMAG00000017041","ISA"
"14662","GO:0016746","naa40",8458,"ENSXMAG00000017041","ISA"
"14663","GO:0016747","naa40",8458,"ENSXMAG00000017041","ISA"
"14664","GO:0010485","naa40",8458,"ENSXMAG00000017041","ISA"
"14665","GO:0043998","naa40",8458,"ENSXMAG00000017041","ISA"
"14666","GO:0006338","naa40",8458,"ENSXMAG00000017041","ISA"
"16505","GO:0016020","zdhhc20b",9487,"ENSXMAG00000019130","ISA"
"16506","GO:0016740","zdhhc20b",9487,"ENSXMAG00000019130","ISA"
"16507","GO:0016746","zdhhc20b",9487,"ENSXMAG00000019130","ISA"
"16508","GO:0016409","zdhhc20b",9487,"ENSXMAG00000019130","ISA"
"16509","GO:0019706","zdhhc20b",9487,"ENSXMAG00000019130","ISA"
"16594","GO:0016020","FAT2",9545,"ENSXMAG00000019238","ISA"
"16595","GO:0007155","FAT2",9545,"ENSXMAG00000019238","ISA"
"16596","GO:0005509","FAT2",9545,"ENSXMAG00000019238","ISA"
"16597","GO:0007156","FAT2",9545,"ENSXMAG00000019238","ISA"
"16598","GO:0005886","FAT2",9545,"ENSXMAG00000019238","ISA"
"16599","GO:0098609","FAT2",9545,"ENSXMAG00000019238","ISA"
"16600","GO:0048856","FAT2",9545,"ENSXMAG00000019238","ISA"
"16751","GO:0016020","tmem115",9617,"ENSXMAG00000019369","ISA"
"16752","GO:0006890","tmem115",9617,"ENSXMAG00000019369","ISA"
"16755","GO:0016020","DNAJC16",9624,"ENSXMAG00000019383","ISA"
"18953","GO:0046872","galt",1047,"ENSXMAG00000002181","ISA"
"18954","GO:0016740","galt",1047,"ENSXMAG00000002181","ISA"
"18955","GO:0008270","galt",1047,"ENSXMAG00000002181","ISA"
"18956","GO:0016779","galt",1047,"ENSXMAG00000002181","ISA"
"18957","GO:0005975","galt",1047,"ENSXMAG00000002181","ISA"
"18958","GO:0008108","galt",1047,"ENSXMAG00000002181","ISA"
"18959","GO:0006012","galt",1047,"ENSXMAG00000002181","ISA"
"18960","GO:0033499","galt",1047,"ENSXMAG00000002181","ISA"
"20004","GO:0005634","dmrta2",1667,"ENSXMAG00000003327","ISA"
"20005","GO:0043565","dmrta2",1667,"ENSXMAG00000003327","ISA"
"20006","GO:0006355","dmrta2",1667,"ENSXMAG00000003327","ISA"
"20007","GO:0005515","dmrta2",1667,"ENSXMAG00000003327","ISA"
"20449","GO:0003676","pabpc1b",1898,"ENSXMAG00000003753","ISA"
"20450","GO:0003723","pabpc1b",1898,"ENSXMAG00000003753","ISA"
"20451","GO:0005737","pabpc1b",1898,"ENSXMAG00000003753","ISA"
"20591","GO:0003824","mtfmt",2006,"ENSXMAG00000003975","ISA"
"20592","GO:0016740","mtfmt",2006,"ENSXMAG00000003975","ISA"
"20593","GO:0006412","mtfmt",2006,"ENSXMAG00000003975","ISA"
"20594","GO:0006413","mtfmt",2006,"ENSXMAG00000003975","ISA"
"20595","GO:0009058","mtfmt",2006,"ENSXMAG00000003975","ISA"
"20596","GO:0004479","mtfmt",2006,"ENSXMAG00000003975","ISA"
"20597","GO:0071951","mtfmt",2006,"ENSXMAG00000003975","ISA"
"23779","GO:0003730","cpeb3",3812,"ENSXMAG00000007652","ISA"
"23780","GO:0003676","cpeb3",3812,"ENSXMAG00000007652","ISA"
"23781","GO:0003723","cpeb3",3812,"ENSXMAG00000007652","ISA"
"23782","GO:0045182","cpeb3",3812,"ENSXMAG00000007652","ISA"
"23783","GO:0006417","cpeb3",3812,"ENSXMAG00000007652","ISA"
"24669","GO:0016020","slc13a4",4398,"ENSXMAG00000008858","ISA"
"24670","GO:0055085","slc13a4",4398,"ENSXMAG00000008858","ISA"
"24671","GO:0022857","slc13a4",4398,"ENSXMAG00000008858","ISA"
"24672","GO:0006811","slc13a4",4398,"ENSXMAG00000008858","ISA"
"24673","GO:0035725","slc13a4",4398,"ENSXMAG00000008858","ISA"
"24674","GO:0006814","slc13a4",4398,"ENSXMAG00000008858","ISA"
