GOBPID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	GENEID_list	GENENAME_list
GO:0001708	0.0428366009256302	25.9851851851852	0.043663169832719	1	28	cell fate specification	ENSXMAG00000001116	olig2
GO:0007186	0.0122330917308028	7.80185758513932	0.508364048766657	3	326	G protein-coupled receptor signaling pathway	ENSXMAG00000003026,ENSXMAG00000014160,ENSXMAG00000020221	mc1r,sstr5,or71ar1
GO:0007272	0.0231601112447389	50.2071428571429	0.0233909838389566	1	15	ensheathment of neurons	ENSXMAG00000001116	olig2
GO:0007416	0.0246866404074479	46.8533333333333	0.0249503827615537	1	16	synapse assembly	ENSXMAG00000019627	SLITRK3
GO:0007606	0.0139552319137306	87.9375	0.014034590303374	1	9	sensory perception of chemical stimulus	ENSXMAG00000020221	or71ar1
GO:0007608	0.0124134419423092	100.514285714286	0.0124751913807769	1	8	sensory perception of smell	ENSXMAG00000020221	or71ar1
GO:0008366	0.0231601112447389	50.2071428571429	0.0233909838389566	1	15	axon ensheathment	ENSXMAG00000001116	olig2
GO:0009593	0.0108694606832651	117.283333333333	0.0109157924581798	1	7	detection of chemical stimulus	ENSXMAG00000020221	or71ar1
GO:0009755	0.0307710949680352	36.9684210526316	0.0311879784519422	1	20	hormone-mediated signaling pathway	ENSXMAG00000014160	sstr5
GO:0010001	0.0322868069321169	35.115	0.0327473773745393	1	21	glial cell differentiation	ENSXMAG00000001116	olig2
GO:0021778	0.0015593989225976	Inf	0.00155939892259711	1	1	oligodendrocyte cell fate specification	ENSXMAG00000001116	olig2
GO:0021779	0.0015593989225976	Inf	0.00155939892259711	1	1	oligodendrocyte cell fate commitment	ENSXMAG00000001116	olig2
GO:0021780	0.0015593989225976	Inf	0.00155939892259711	1	1	glial cell fate specification	ENSXMAG00000001116	olig2
GO:0021781	0.0015593989225976	Inf	0.00155939892259711	1	1	glial cell fate commitment	ENSXMAG00000001116	olig2
GO:0034329	0.0292532250996769	39.0277777777778	0.0296285795293451	1	19	cell junction assembly	ENSXMAG00000019627	SLITRK3
GO:0038169	0.00467156667193125	352.05	0.00467819676779132	1	3	somatostatin receptor signaling pathway	ENSXMAG00000014160	sstr5
GO:0038170	0.00467156667193125	352.05	0.00467819676779132	1	3	somatostatin signaling pathway	ENSXMAG00000014160	sstr5
GO:0042063	0.0368210229972989	30.5217391304348	0.0374255741423306	1	24	gliogenesis	ENSXMAG00000001116	olig2
GO:0042552	0.0231601112447389	50.2071428571429	0.0233909838389566	1	15	myelination	ENSXMAG00000001116	olig2
GO:0048709	0.0201005348629937	58.5916666666667	0.0202721859937624	1	13	oligodendrocyte differentiation	ENSXMAG00000001116	olig2
GO:0050803	0.0154948333969031	78.1555555555556	0.0155939892259711	1	10	regulation of synapse structure or activity	ENSXMAG00000019627	SLITRK3
GO:0050807	0.0108694606832651	117.283333333333	0.0109157924581798	1	7	regulation of synapse organization	ENSXMAG00000019627	SLITRK3
GO:0050808	0.0443351488034864	25.0535714285714	0.0452225687553161	1	29	synapse organization	ENSXMAG00000019627	SLITRK3
GO:0050906	0.0262110005886814	43.91875	0.0265097816841508	1	17	detection of stimulus involved in sensory perception	ENSXMAG00000020221	or71ar1
GO:0050907	0.0108694606832651	117.283333333333	0.0109157924581798	1	7	detection of chemical stimulus involved in sensory perception	ENSXMAG00000020221	or71ar1
GO:0050911	0.0108694606832651	117.283333333333	0.0109157924581798	1	7	detection of chemical stimulus involved in sensory perception of smell	ENSXMAG00000020221	or71ar1
GO:0051963	0.00932328533404159	140.76	0.00935639353558265	1	6	regulation of synapse assembly	ENSXMAG00000019627	SLITRK3
GO:0099054	0.00777491308889755	175.975	0.00779699461298554	1	5	presynapse assembly	ENSXMAG00000019627	SLITRK3
GO:0099172	0.00777491308889755	175.975	0.00779699461298554	1	5	presynapse organization	ENSXMAG00000019627	SLITRK3
GO:0099174	0.00777491308889755	175.975	0.00779699461298554	1	5	regulation of presynapse organization	ENSXMAG00000019627	SLITRK3
GO:1901888	0.00932328533404159	140.76	0.00935639353558265	1	6	regulation of cell junction assembly	ENSXMAG00000019627	SLITRK3
GO:1905606	0.00777491308889755	175.975	0.00779699461298554	1	5	regulation of presynapse assembly	ENSXMAG00000019627	SLITRK3
GO:1905748	0.00311658687266836	704.2	0.00311879784519422	1	2	hard palate morphogenesis	ENSXMAG00000013126	esrp1
