"","frame.go_id","frame.gene_name","frame.gene_id","frame.ensembl","frame.Evidence"
"1409","GO:0003676","ENPP2",639,"ENSXMAG00000001408","ISA"
"1410","GO:0046872","ENPP2",639,"ENSXMAG00000001408","ISA"
"1411","GO:0016787","ENPP2",639,"ENSXMAG00000001408","ISA"
"1412","GO:0006955","ENPP2",639,"ENSXMAG00000001408","ISA"
"1413","GO:0005576","ENPP2",639,"ENSXMAG00000001408","ISA"
"1414","GO:0005044","ENPP2",639,"ENSXMAG00000001408","ISA"
"1415","GO:0006897","ENPP2",639,"ENSXMAG00000001408","ISA"
"1416","GO:0030247","ENPP2",639,"ENSXMAG00000001408","ISA"
"1417","GO:0110165","ENPP2",639,"ENSXMAG00000001408","ISA"
"1418","GO:0016788","ENPP2",639,"ENSXMAG00000001408","ISA"
"11859","GO:0016020","adam8a",6736,"ENSXMAG00000013662","ISA"
"11860","GO:0046872","adam8a",6736,"ENSXMAG00000013662","ISA"
"11861","GO:0004222","adam8a",6736,"ENSXMAG00000013662","ISA"
"11862","GO:0006508","adam8a",6736,"ENSXMAG00000013662","ISA"
"11863","GO:0008237","adam8a",6736,"ENSXMAG00000013662","ISA"
"11864","GO:0002020","adam8a",6736,"ENSXMAG00000013662","ISA"
"11865","GO:0048856","adam8a",6736,"ENSXMAG00000013662","ISA"
"18212","GO:0046872","tescb",627,"ENSXMAG00000001381","ISA"
"18213","GO:0005509","tescb",627,"ENSXMAG00000001381","ISA"
"28095","GO:0016829","npl",6394,"ENSXMAG00000012932","ISA"
"37069","GO:0046872","gmpr",1820,"ENSXMAG00000003617","ISA"
"37070","GO:0003824","gmpr",1820,"ENSXMAG00000003617","ISA"
"37071","GO:0016491","gmpr",1820,"ENSXMAG00000003617","ISA"
"37072","GO:0009117","gmpr",1820,"ENSXMAG00000003617","ISA"
"37073","GO:0006144","gmpr",1820,"ENSXMAG00000003617","ISA"
"37074","GO:0003920","gmpr",1820,"ENSXMAG00000003617","ISA"
"37075","GO:0006163","gmpr",1820,"ENSXMAG00000003617","ISA"
"37076","GO:1902560","gmpr",1820,"ENSXMAG00000003617","ISA"
"38855","GO:0005576","lgi2b",2898,"ENSXMAG00000005745","ISA"
"38856","GO:0005515","lgi2b",2898,"ENSXMAG00000005745","ISA"
"42356","GO:0046872","mmp9",5048,"ENSXMAG00000010153","ISA"
"42357","GO:0016787","mmp9",5048,"ENSXMAG00000010153","ISA"
"42358","GO:0008270","mmp9",5048,"ENSXMAG00000010153","ISA"
"42359","GO:0004222","mmp9",5048,"ENSXMAG00000010153","ISA"
"42360","GO:0006508","mmp9",5048,"ENSXMAG00000010153","ISA"
"42361","GO:0005576","mmp9",5048,"ENSXMAG00000010153","ISA"
"42362","GO:0008233","mmp9",5048,"ENSXMAG00000010153","ISA"
"42363","GO:0008237","mmp9",5048,"ENSXMAG00000010153","ISA"
"42364","GO:0031012","mmp9",5048,"ENSXMAG00000010153","ISA"
"42365","GO:0050896","mmp9",5048,"ENSXMAG00000010153","ISA"
"42366","GO:0030574","mmp9",5048,"ENSXMAG00000010153","ISA"
"42751","GO:0016020","ADAM23",5250,"ENSXMAG00000010539","ISA"
"42752","GO:0004222","ADAM23",5250,"ENSXMAG00000010539","ISA"
"42753","GO:0006508","ADAM23",5250,"ENSXMAG00000010539","ISA"
"42754","GO:0008237","ADAM23",5250,"ENSXMAG00000010539","ISA"
"42755","GO:0048856","ADAM23",5250,"ENSXMAG00000010539","ISA"
"50489","GO:0005179","crhb",9894,"ENSXMAG00000020158","ISA"
"50490","GO:0007165","crhb",9894,"ENSXMAG00000020158","ISA"
"50491","GO:0005576","crhb",9894,"ENSXMAG00000020158","ISA"
"51224","GO:0005515","RIMBP2",429,"ENSXMAG00000000945","ISA"
"57241","GO:0005525","septin8b",4572,"ENSXMAG00000009231","ISA"
"61848","GO:0016020","kcnv2b",7605,"ENSXMAG00000015430","ISA"
"61849","GO:0005249","kcnv2b",7605,"ENSXMAG00000015430","ISA"
"61850","GO:0006813","kcnv2b",7605,"ENSXMAG00000015430","ISA"
"61851","GO:0055085","kcnv2b",7605,"ENSXMAG00000015430","ISA"
"61852","GO:0005216","kcnv2b",7605,"ENSXMAG00000015430","ISA"
"61853","GO:0005267","kcnv2b",7605,"ENSXMAG00000015430","ISA"
"61854","GO:0006811","kcnv2b",7605,"ENSXMAG00000015430","ISA"
"61855","GO:0071805","kcnv2b",7605,"ENSXMAG00000015430","ISA"
"61856","GO:0008076","kcnv2b",7605,"ENSXMAG00000015430","ISA"
"61857","GO:0051260","kcnv2b",7605,"ENSXMAG00000015430","ISA"
"61858","GO:0005244","kcnv2b",7605,"ENSXMAG00000015430","ISA"
"61859","GO:0034765","kcnv2b",7605,"ENSXMAG00000015430","ISA"
"64632","GO:0016020","SLC32A1",9454,"ENSXMAG00000019059","ISA"
"65062","GO:0005515","ANKRD34B",9712,"ENSXMAG00000019595","ISA"
"65849","GO:0035195","MIR137",10007,"ENSXMAG00000020613","ISA"
"65850","GO:0016442","MIR137",10007,"ENSXMAG00000020613","ISA"
