"","frame.go_id","frame.gene_name","frame.gene_id","frame.ensembl","frame.Evidence"
"5558","GO:0005634","dnaaf4",3238,"ENSXMAG00000006476","ISA"
"5559","GO:0005737","dnaaf4",3238,"ENSXMAG00000006476","ISA"
"5560","GO:0042995","dnaaf4",3238,"ENSXMAG00000006476","ISA"
"5561","GO:0003341","dnaaf4",3238,"ENSXMAG00000006476","ISA"
"5562","GO:0007399","dnaaf4",3238,"ENSXMAG00000006476","ISA"
"5563","GO:0005515","dnaaf4",3238,"ENSXMAG00000006476","ISA"
"5564","GO:0043005","dnaaf4",3238,"ENSXMAG00000006476","ISA"
"5565","GO:0120293","dnaaf4",3238,"ENSXMAG00000006476","ISA"
"18311","GO:0046872","bco2l",676,"ENSXMAG00000001475","ISA"
"18312","GO:0016702","bco2l",676,"ENSXMAG00000001475","ISA"
"21688","GO:0007155","thbs4b",2560,"ENSXMAG00000005071","ISA"
"21689","GO:0005509","thbs4b",2560,"ENSXMAG00000005071","ISA"
"21690","GO:0005576","thbs4b",2560,"ENSXMAG00000005071","ISA"
"21691","GO:0048856","thbs4b",2560,"ENSXMAG00000005071","ISA"
"25390","GO:0005634","ppp1r13ba",4831,"ENSXMAG00000009732","ISA"
"25391","GO:0042981","ppp1r13ba",4831,"ENSXMAG00000009732","ISA"
"25392","GO:0002039","ppp1r13ba",4831,"ENSXMAG00000009732","ISA"
"25393","GO:0005515","ppp1r13ba",4831,"ENSXMAG00000009732","ISA"
"29567","GO:0008289","crabp2b",7214,"ENSXMAG00000014642","ISA"
"29568","GO:0021575","crabp2b",7214,"ENSXMAG00000014642","ISA"
"29569","GO:0048385","crabp2b",7214,"ENSXMAG00000014642","ISA"
"29971","GO:0000166","afg1la",7509,"ENSXMAG00000015249","ISA"
"29972","GO:0005524","afg1la",7509,"ENSXMAG00000015249","ISA"
"29973","GO:0016887","afg1la",7509,"ENSXMAG00000015249","ISA"
"35457","GO:0000166","prkcda",875,"ENSXMAG00000001861","ISA"
"35458","GO:0004672","prkcda",875,"ENSXMAG00000001861","ISA"
"35459","GO:0005524","prkcda",875,"ENSXMAG00000001861","ISA"
"35460","GO:0006468","prkcda",875,"ENSXMAG00000001861","ISA"
"35461","GO:0005634","prkcda",875,"ENSXMAG00000001861","ISA"
"35462","GO:0005737","prkcda",875,"ENSXMAG00000001861","ISA"
"35463","GO:0046872","prkcda",875,"ENSXMAG00000001861","ISA"
"35464","GO:0006915","prkcda",875,"ENSXMAG00000001861","ISA"
"35465","GO:0016301","prkcda",875,"ENSXMAG00000001861","ISA"
"35466","GO:0016740","prkcda",875,"ENSXMAG00000001861","ISA"
"35467","GO:0016310","prkcda",875,"ENSXMAG00000001861","ISA"
"35468","GO:0004674","prkcda",875,"ENSXMAG00000001861","ISA"
"35469","GO:0007049","prkcda",875,"ENSXMAG00000001861","ISA"
"35470","GO:0004697","prkcda",875,"ENSXMAG00000001861","ISA"
"35471","GO:0048471","prkcda",875,"ENSXMAG00000001861","ISA"
"35472","GO:0004698","prkcda",875,"ENSXMAG00000001861","ISA"
"35473","GO:0001772","prkcda",875,"ENSXMAG00000001861","ISA"
"35474","GO:0106310","prkcda",875,"ENSXMAG00000001861","ISA"
"35475","GO:0048468","prkcda",875,"ENSXMAG00000001861","ISA"
"35597","GO:0016020","slc2a9l1",927,"ENSXMAG00000001965","ISA"
"35598","GO:0055085","slc2a9l1",927,"ENSXMAG00000001965","ISA"
"35599","GO:0022857","slc2a9l1",927,"ENSXMAG00000001965","ISA"
"36949","GO:0016020","malt2",1748,"ENSXMAG00000003477","ISA"
"36950","GO:0006508","malt2",1748,"ENSXMAG00000003477","ISA"
"36951","GO:0004197","malt2",1748,"ENSXMAG00000003477","ISA"
"44534","GO:0016020","rdh8b",6343,"ENSXMAG00000012815","ISA"
"44535","GO:0005737","rdh8b",6343,"ENSXMAG00000012815","ISA"
"44536","GO:0016491","rdh8b",6343,"ENSXMAG00000012815","ISA"
"44537","GO:0006629","rdh8b",6343,"ENSXMAG00000012815","ISA"
"44538","GO:0050896","rdh8b",6343,"ENSXMAG00000012815","ISA"
"44539","GO:0042572","rdh8b",6343,"ENSXMAG00000012815","ISA"
"44540","GO:0004303","rdh8b",6343,"ENSXMAG00000012815","ISA"
"44541","GO:0006703","rdh8b",6343,"ENSXMAG00000012815","ISA"
"44542","GO:0052650","rdh8b",6343,"ENSXMAG00000012815","ISA"
"45895","GO:0016020","CACNG1",7211,"ENSXMAG00000014634","ISA"
"45896","GO:0005886","CACNG1",7211,"ENSXMAG00000014634","ISA"
"45897","GO:0006811","CACNG1",7211,"ENSXMAG00000014634","ISA"
"45898","GO:0005245","CACNG1",7211,"ENSXMAG00000014634","ISA"
"45899","GO:0070588","CACNG1",7211,"ENSXMAG00000014634","ISA"
"45900","GO:0005891","CACNG1",7211,"ENSXMAG00000014634","ISA"
"45901","GO:0005244","CACNG1",7211,"ENSXMAG00000014634","ISA"
"45902","GO:0005262","CACNG1",7211,"ENSXMAG00000014634","ISA"
"45903","GO:0006816","CACNG1",7211,"ENSXMAG00000014634","ISA"
"45904","GO:0034765","CACNG1",7211,"ENSXMAG00000014634","ISA"
"45905","GO:0042383","CACNG1",7211,"ENSXMAG00000014634","ISA"
"51381","GO:0005179","smtla",544,"ENSXMAG00000001203","ISA"
"51382","GO:0007165","smtla",544,"ENSXMAG00000001203","ISA"
"51383","GO:0005576","smtla",544,"ENSXMAG00000001203","ISA"
"56293","GO:0007165","tmtops3b",3932,"ENSXMAG00000007891","ISA"
"56294","GO:0007186","tmtops3b",3932,"ENSXMAG00000007891","ISA"
