"","frame.go_id","frame.gene_name","frame.gene_id","frame.ensembl","frame.Evidence"
"30","GO:0005975","taldo1",10,"ENSXMAG00000000024","ISA"
"31","GO:0016740","taldo1",10,"ENSXMAG00000000024","ISA"
"32","GO:0005737","taldo1",10,"ENSXMAG00000000024","ISA"
"33","GO:0006098","taldo1",10,"ENSXMAG00000000024","ISA"
"34","GO:0004801","taldo1",10,"ENSXMAG00000000024","ISA"
"74","GO:0005634","ints2",37,"ENSXMAG00000000085","ISA"
"75","GO:0016180","ints2",37,"ENSXMAG00000000085","ISA"
"76","GO:0032039","ints2",37,"ENSXMAG00000000085","ISA"
"152","GO:0000166","oxsr1a",98,"ENSXMAG00000000211","ISA"
"153","GO:0004672","oxsr1a",98,"ENSXMAG00000000211","ISA"
"154","GO:0005524","oxsr1a",98,"ENSXMAG00000000211","ISA"
"155","GO:0006468","oxsr1a",98,"ENSXMAG00000000211","ISA"
"156","GO:0004674","oxsr1a",98,"ENSXMAG00000000211","ISA"
"293","GO:0003924","RAB39B",154,"ENSXMAG00000000325","ISA"
"294","GO:0016020","RAB39B",154,"ENSXMAG00000000325","ISA"
"295","GO:0005886","RAB39B",154,"ENSXMAG00000000325","ISA"
"296","GO:0006914","RAB39B",154,"ENSXMAG00000000325","ISA"
"297","GO:0005525","RAB39B",154,"ENSXMAG00000000325","ISA"
"298","GO:0032482","RAB39B",154,"ENSXMAG00000000325","ISA"
"311","GO:0003676","rbm14a",157,"ENSXMAG00000000338","ISA"
"312","GO:0003723","rbm14a",157,"ENSXMAG00000000338","ISA"
"313","GO:0030509","rbm14a",157,"ENSXMAG00000000338","ISA"
"321","GO:0015031","KPNA6",160,"ENSXMAG00000000350","ISA"
"322","GO:0005737","KPNA6",160,"ENSXMAG00000000350","ISA"
"323","GO:0061608","KPNA6",160,"ENSXMAG00000000350","ISA"
"324","GO:0006606","KPNA6",160,"ENSXMAG00000000350","ISA"
"325","GO:0005515","KPNA6",160,"ENSXMAG00000000350","ISA"
"429","GO:0005634","DCAF8",220,"ENSXMAG00000000473","ISA"
"430","GO:0005515","DCAF8",220,"ENSXMAG00000000473","ISA"
"527","GO:0005634","rif1",242,"ENSXMAG00000000506","ISA"
