"","frame.go_id","frame.gene_name","frame.gene_id","frame.ensembl","frame.Evidence"
"7793","GO:0007165","tnfrsf21",4425,"ENSXMAG00000008929","ISA"
"7794","GO:0016020","tnfrsf21",4425,"ENSXMAG00000008929","ISA"
"7795","GO:0006915","tnfrsf21",4425,"ENSXMAG00000008929","ISA"
"7796","GO:0005515","tnfrsf21",4425,"ENSXMAG00000008929","ISA"
"7797","GO:0110165","tnfrsf21",4425,"ENSXMAG00000008929","ISA"
"20457","GO:0016020","fads2",1910,"ENSXMAG00000003777","ISA"
"20458","GO:0006629","fads2",1910,"ENSXMAG00000003777","ISA"
"20459","GO:0016491","fads2",1910,"ENSXMAG00000003777","ISA"
"20460","GO:0006631","fads2",1910,"ENSXMAG00000003777","ISA"
"20461","GO:0006633","fads2",1910,"ENSXMAG00000003777","ISA"
"20462","GO:0006636","fads2",1910,"ENSXMAG00000003777","ISA"
"23082","GO:0016020","slco2b1",3402,"ENSXMAG00000006813","ISA"
"23083","GO:0005886","slco2b1",3402,"ENSXMAG00000006813","ISA"
"23084","GO:0055085","slco2b1",3402,"ENSXMAG00000006813","ISA"
"23085","GO:0022857","slco2b1",3402,"ENSXMAG00000006813","ISA"
"23086","GO:0006811","slco2b1",3402,"ENSXMAG00000006813","ISA"
"23087","GO:0005515","slco2b1",3402,"ENSXMAG00000006813","ISA"
"25867","GO:0007165","TACR1",5083,"ENSXMAG00000010211","ISA"
"25868","GO:0007186","TACR1",5083,"ENSXMAG00000010211","ISA"
"25869","GO:0016020","TACR1",5083,"ENSXMAG00000010211","ISA"
"25870","GO:0005886","TACR1",5083,"ENSXMAG00000010211","ISA"
"25871","GO:0004930","TACR1",5083,"ENSXMAG00000010211","ISA"
"25872","GO:0004995","TACR1",5083,"ENSXMAG00000010211","ISA"
"25873","GO:0007217","TACR1",5083,"ENSXMAG00000010211","ISA"
"25874","GO:0071314","TACR1",5083,"ENSXMAG00000010211","ISA"
"30350","GO:0005737","dpysl5a",7699,"ENSXMAG00000015602","ISA"
"30351","GO:0016787","dpysl5a",7699,"ENSXMAG00000015602","ISA"
"30352","GO:0016810","dpysl5a",7699,"ENSXMAG00000015602","ISA"
"35384","GO:0000166","KIF13B",842,"ENSXMAG00000001804","ISA"
"35385","GO:0005524","KIF13B",842,"ENSXMAG00000001804","ISA"
"35386","GO:0005737","KIF13B",842,"ENSXMAG00000001804","ISA"
"35387","GO:0008017","KIF13B",842,"ENSXMAG00000001804","ISA"
"35388","GO:0005874","KIF13B",842,"ENSXMAG00000001804","ISA"
"35389","GO:0003774","KIF13B",842,"ENSXMAG00000001804","ISA"
