GOMFID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	GENEID_list	GENENAME_list
GO:0001733	0.0365549296522949	40.4292929292929	0.0370050573578389	1	3	galactosylceramide sulfotransferase activity	ENSXMAG00000001414	GAL3ST1
GO:0003700	0.0469426233966797	2.10945000685777	4.00888121376588	8	325	DNA-binding transcription factor activity	ENSXMAG00000008198,ENSXMAG00000002339,ENSXMAG00000012903,ENSXMAG00000013622,ENSXMAG00000019810,ENSXMAG00000019811,ENSXMAG00000008241,ENSXMAG00000011464	NR4A2,nr1d4b,hlfa,irx4b,foxq1b,mafaa,etv7,nr1d4a
GO:0003755	0.0462539598061939	6.26452119309262	0.34538053533983	2	28	peptidyl-prolyl cis-trans isomerase activity	ENSXMAG00000003872,ENSXMAG00000004998	ptpa,ppil4
GO:0004622	0.0365549296522949	40.4292929292929	0.0370050573578389	1	3	lysophospholipase activity	ENSXMAG00000006810	PNPLA6
GO:0004656	0.0484434423663583	26.9494949494949	0.0493400764771185	1	4	procollagen-proline 4-dioxygenase activity	ENSXMAG00000012036	P4HA3
GO:0004826	0.0365549296522949	40.4292929292929	0.0370050573578389	1	3	phenylalanine-tRNA ligase activity	ENSXMAG00000008832	farsa
GO:0004879	0.043290796173087	6.51591836734694	0.33304551622055	2	27	nuclear receptor activity	ENSXMAG00000008198,ENSXMAG00000011464	NR4A2,nr1d4a
GO:0005102	0.0331469714660178	2.6403242147923	2.40532872825953	6	195	signaling receptor binding	ENSXMAG00000014192,ENSXMAG00000002133,ENSXMAG00000017210,ENSXMAG00000001503,ENSXMAG00000009563,ENSXMAG00000016093	SEMA4D,gnrh2,trh,ITPRID2,nlgn3a,oxt
GO:0005179	0.0147630271021854	6.3187946074544	0.518070803009745	3	42	hormone activity	ENSXMAG00000002133,ENSXMAG00000017210,ENSXMAG00000016093	gnrh2,trh,oxt
GO:0005185	0.0245193884861773	80.8686868686869	0.0246700382385593	1	2	neurohypophyseal hormone activity	ENSXMAG00000016093	oxt
GO:0005243	0.0245193884861773	80.8686868686869	0.0246700382385593	1	2	gap junction channel activity	ENSXMAG00000005269	gja1b
GO:0005249	0.0360046709550226	4.39120029455081	0.727766128037498	3	59	voltage-gated potassium channel activity	ENSXMAG00000001158,ENSXMAG00000011736,ENSXMAG00000001672	KCNV1,kcnq1.1,kcnk13b
GO:0005315	0.0245193884861773	80.8686868686869	0.0246700382385593	1	2	inorganic phosphate transmembrane transporter activity	ENSXMAG00000015089	slc20a1a
GO:0008437	0.0123350191192795	Inf	0.0123350191192796	1	1	thyrotropin-releasing hormone activity	ENSXMAG00000017210	trh
GO:0015271	0.0123350191192795	Inf	0.0123350191192796	1	1	outward rectifier potassium channel activity	ENSXMAG00000001672	kcnk13b
GO:0015293	0.0441733533864634	4.02873077573094	0.789441223633897	3	64	symporter activity	ENSXMAG00000015089,ENSXMAG00000018072,ENSXMAG00000009370	slc20a1a,mfsd2al2,slc1a8b
GO:0016854	0.0484434423663583	26.9494949494949	0.0493400764771185	1	4	racemase and epimerase activity	ENSXMAG00000004821	renbp
GO:0016857	0.0484434423663583	26.9494949494949	0.0493400764771185	1	4	racemase and epimerase activity, acting on carbohydrates and derivatives	ENSXMAG00000004821	renbp
GO:0016859	0.0492895951789396	6.03174603174603	0.357715554459109	2	29	cis-trans isomerase activity	ENSXMAG00000003872,ENSXMAG00000004998	ptpa,ppil4
GO:0016922	0.0365549296522949	40.4292929292929	0.0370050573578389	1	3	nuclear receptor binding	ENSXMAG00000006493	NCOA2
GO:0019211	0.0245193884861773	80.8686868686869	0.0246700382385593	1	2	phosphatase activator activity	ENSXMAG00000003872	ptpa
GO:0030374	0.0484434423663583	26.9494949494949	0.0493400764771185	1	4	nuclear receptor coactivator activity	ENSXMAG00000006493	NCOA2
GO:0031418	0.0181605184084112	10.8734693877551	0.209695325027754	2	17	L-ascorbic acid binding	ENSXMAG00000012036,ENSXMAG00000012750	P4HA3,ogfod3
GO:0031545	0.0484434423663583	26.9494949494949	0.0493400764771185	1	4	peptidyl-proline 4-dioxygenase activity	ENSXMAG00000012036	P4HA3
GO:0035091	0.0287005797171472	4.82474226804124	0.6660910324411	3	54	phosphatidylinositol binding	ENSXMAG00000003919,ENSXMAG00000001948,ENSXMAG00000003140	snx25,snx1a,SNX4
GO:0043177	0.043290796173087	6.51591836734694	0.33304551622055	2	27	organic acid binding	ENSXMAG00000012036,ENSXMAG00000012750	P4HA3,ogfod3
GO:0043565	0.00773330040330527	3.31055938141839	2.28197853706673	7	185	sequence-specific DNA binding	ENSXMAG00000008198,ENSXMAG00000015603,ENSXMAG00000002339,ENSXMAG00000019810,ENSXMAG00000019811,ENSXMAG00000008241,ENSXMAG00000011464	NR4A2,dmrt2a,nr1d4b,foxq1b,mafaa,etv7,nr1d4a
GO:0047127	0.0123350191192795	Inf	0.0123350191192796	1	1	thiomorpholine-carboxylate dehydrogenase activity	ENSXMAG00000011082	crym
GO:0047173	0.0245193884861773	80.8686868686869	0.0246700382385593	1	2	phosphatidylcholine-retinol O-acyltransferase activity	ENSXMAG00000008234	LRAT
GO:0048029	0.0348587735907006	7.40723562152134	0.296040458862711	2	24	monosaccharide binding	ENSXMAG00000012036,ENSXMAG00000012750	P4HA3,ogfod3
GO:0050121	0.0123350191192795	Inf	0.0123350191192796	1	1	N-acylglucosamine 2-epimerase activity	ENSXMAG00000004821	renbp
GO:0050694	0.0365549296522949	40.4292929292929	0.0370050573578389	1	3	galactose 3-O-sulfotransferase activity	ENSXMAG00000001414	GAL3ST1
GO:0052629	0.0365549296522949	40.4292929292929	0.0370050573578389	1	3	phosphatidylinositol-3,5-bisphosphate 3-phosphatase activity	ENSXMAG00000011764	mtmr1a
GO:0055077	0.0123350191192795	Inf	0.0123350191192796	1	1	gap junction hemi-channel activity	ENSXMAG00000005269	gja1b
GO:0098531	0.043290796173087	6.51591836734694	0.33304551622055	2	27	ligand-activated transcription factor activity	ENSXMAG00000008198,ENSXMAG00000011464	NR4A2,nr1d4a
GO:0102545	0.0365549296522949	40.4292929292929	0.0370050573578389	1	3	phosphatidyl phospholipase B activity	ENSXMAG00000006810	PNPLA6
GO:0106018	0.0484434423663583	26.9494949494949	0.0493400764771185	1	4	phosphatidylinositol-3,5-bisphosphate phosphatase activity	ENSXMAG00000011764	mtmr1a
GO:0140110	0.0431118618538667	2.04717233985527	4.6626372270877	9	378	transcription regulator activity	ENSXMAG00000008198,ENSXMAG00000002339,ENSXMAG00000006493,ENSXMAG00000012903,ENSXMAG00000013622,ENSXMAG00000019810,ENSXMAG00000019811,ENSXMAG00000008241,ENSXMAG00000011464	NR4A2,nr1d4b,NCOA2,hlfa,irx4b,foxq1b,mafaa,etv7,nr1d4a
