"","frame.go_id","frame.gene_name","frame.gene_id","frame.ensembl","frame.Evidence"
"5455","GO:0005576","igfbp1a",3167,"ENSXMAG00000006325","ISA"
"5456","GO:0005520","igfbp1a",3167,"ENSXMAG00000006325","ISA"
"5457","GO:0031994","igfbp1a",3167,"ENSXMAG00000006325","ISA"
"5458","GO:0031995","igfbp1a",3167,"ENSXMAG00000006325","ISA"
"5459","GO:0001666","igfbp1a",3167,"ENSXMAG00000006325","ISA"
"5460","GO:0008285","igfbp1a",3167,"ENSXMAG00000006325","ISA"
"5461","GO:0031099","igfbp1a",3167,"ENSXMAG00000006325","ISA"
"5462","GO:0005737","igfbp1a",3167,"ENSXMAG00000006325","ISA"
"5463","GO:0019838","igfbp1a",3167,"ENSXMAG00000006325","ISA"
"15437","GO:0005319","vtg3",8845,"ENSXMAG00000017870","ISA"
"15438","GO:0006869","vtg3",8845,"ENSXMAG00000017870","ISA"
"15439","GO:0045735","vtg3",8845,"ENSXMAG00000017870","ISA"
"35046","GO:0042098","klf9",648,"ENSXMAG00000001428","ISA"
"35047","GO:0043249","klf9",648,"ENSXMAG00000001428","ISA"
"53172","GO:0010898","PNPLA2",1944,"ENSXMAG00000003849","ISA"
"53173","GO:0016787","PNPLA2",1944,"ENSXMAG00000003849","ISA"
"53174","GO:0006629","PNPLA2",1944,"ENSXMAG00000003849","ISA"
"53175","GO:0016042","PNPLA2",1944,"ENSXMAG00000003849","ISA"
"53176","GO:0004806","PNPLA2",1944,"ENSXMAG00000003849","ISA"
"55584","GO:0007601","nyx",3407,"ENSXMAG00000006826","ISA"
"55585","GO:0007634","nyx",3407,"ENSXMAG00000006826","ISA"
"55586","GO:0005515","nyx",3407,"ENSXMAG00000006826","ISA"
"65804","GO:0035195","mir140",9995,"ENSXMAG00000020483","ISA"
"65805","GO:0016442","mir140",9995,"ENSXMAG00000020483","ISA"
