"","frame.go_id","frame.gene_name","frame.gene_id","frame.ensembl","frame.Evidence"
"43","GO:0016020","CNNM2",27,"ENSXMAG00000000054","ISA"
"44","GO:0005886","CNNM2",27,"ENSXMAG00000000054","ISA"
"45","GO:0006811","CNNM2",27,"ENSXMAG00000000054","ISA"
"46","GO:0055085","CNNM2",27,"ENSXMAG00000000054","ISA"
"47","GO:0022857","CNNM2",27,"ENSXMAG00000000054","ISA"
"48","GO:0007420","CNNM2",27,"ENSXMAG00000000054","ISA"
"49","GO:0010960","CNNM2",27,"ENSXMAG00000000054","ISA"
"190","GO:0003779","capzb",107,"ENSXMAG00000000225","ISA"
"191","GO:0005737","capzb",107,"ENSXMAG00000000225","ISA"
"192","GO:0005856","capzb",107,"ENSXMAG00000000225","ISA"
"193","GO:0030036","capzb",107,"ENSXMAG00000000225","ISA"
"194","GO:0051016","capzb",107,"ENSXMAG00000000225","ISA"
"195","GO:0051693","capzb",107,"ENSXMAG00000000225","ISA"
"196","GO:0008290","capzb",107,"ENSXMAG00000000225","ISA"
"197","GO:0001755","capzb",107,"ENSXMAG00000000225","ISA"
"198","GO:0014033","capzb",107,"ENSXMAG00000000225","ISA"
"199","GO:0055001","capzb",107,"ENSXMAG00000000225","ISA"
"222","GO:0003676","si:dkey-93h22.8",114,"ENSXMAG00000000243","ISA"
"223","GO:0005634","si:dkey-93h22.8",114,"ENSXMAG00000000243","ISA"
"224","GO:0003723","si:dkey-93h22.8",114,"ENSXMAG00000000243","ISA"
"225","GO:0003712","si:dkey-93h22.8",114,"ENSXMAG00000000243","ISA"
"226","GO:0008134","si:dkey-93h22.8",114,"ENSXMAG00000000243","ISA"
"227","GO:0006351","si:dkey-93h22.8",114,"ENSXMAG00000000243","ISA"
"236","GO:0023052","DLGAP2",125,"ENSXMAG00000000268","ISA"
"244","GO:0016020","TMC6",128,"ENSXMAG00000000278","ISA"
"245","GO:0005886","TMC6",128,"ENSXMAG00000000278","ISA"
"307","GO:0043087","iqgap3",156,"ENSXMAG00000000334","ISA"
"308","GO:0005515","iqgap3",156,"ENSXMAG00000000334","ISA"
"309","GO:0120025","iqgap3",156,"ENSXMAG00000000334","ISA"
"310","GO:0110165","iqgap3",156,"ENSXMAG00000000334","ISA"
"326","GO:0046872","man2b1",161,"ENSXMAG00000000351","ISA"
"327","GO:0016787","man2b1",161,"ENSXMAG00000000351","ISA"
"328","GO:0016798","man2b1",161,"ENSXMAG00000000351","ISA"
"329","GO:0005975","man2b1",161,"ENSXMAG00000000351","ISA"
"330","GO:0008152","man2b1",161,"ENSXMAG00000000351","ISA"
"331","GO:0003824","man2b1",161,"ENSXMAG00000000351","ISA"
"332","GO:0030246","man2b1",161,"ENSXMAG00000000351","ISA"
"333","GO:0004559","man2b1",161,"ENSXMAG00000000351","ISA"
