"","frame.go_id","frame.gene_name","frame.gene_id","frame.ensembl","frame.Evidence"
"1426","GO:0016020","GAL3ST1",643,"ENSXMAG00000001414","ISA"
"1427","GO:0003824","GAL3ST1",643,"ENSXMAG00000001414","ISA"
"1428","GO:0001733","GAL3ST1",643,"ENSXMAG00000001414","ISA"
"1429","GO:0009247","GAL3ST1",643,"ENSXMAG00000001414","ISA"
"5152","GO:0016020","spns3",2966,"ENSXMAG00000005883","ISA"
"5153","GO:0055085","spns3",2966,"ENSXMAG00000005883","ISA"
"5154","GO:0022857","spns3",2966,"ENSXMAG00000005883","ISA"
"7195","GO:0003677","NR4A2",4074,"ENSXMAG00000008198","ISA"
"7196","GO:0003700","NR4A2",4074,"ENSXMAG00000008198","ISA"
"7197","GO:0006355","NR4A2",4074,"ENSXMAG00000008198","ISA"
"7198","GO:0005634","NR4A2",4074,"ENSXMAG00000008198","ISA"
"7199","GO:0046872","NR4A2",4074,"ENSXMAG00000008198","ISA"
"7200","GO:0008270","NR4A2",4074,"ENSXMAG00000008198","ISA"
"7201","GO:0043565","NR4A2",4074,"ENSXMAG00000008198","ISA"
"7202","GO:0050896","NR4A2",4074,"ENSXMAG00000008198","ISA"
"7203","GO:0004879","NR4A2",4074,"ENSXMAG00000008198","ISA"
"7204","GO:0030522","NR4A2",4074,"ENSXMAG00000008198","ISA"
"7205","GO:0006357","NR4A2",4074,"ENSXMAG00000008198","ISA"
"7206","GO:0006351","NR4A2",4074,"ENSXMAG00000008198","ISA"
"7207","GO:0000981","NR4A2",4074,"ENSXMAG00000008198","ISA"
"12249","GO:0016020","SEMA4D",7003,"ENSXMAG00000014192","ISA"
"12250","GO:0030215","SEMA4D",7003,"ENSXMAG00000014192","ISA"
"12251","GO:0007411","SEMA4D",7003,"ENSXMAG00000014192","ISA"
"12252","GO:0005515","SEMA4D",7003,"ENSXMAG00000014192","ISA"
"12380","GO:0046872","lnx1",7069,"ENSXMAG00000014349","ISA"
"12381","GO:0005515","lnx1",7069,"ENSXMAG00000014349","ISA"
"13477","GO:0003677","dmrt2a",7700,"ENSXMAG00000015603","ISA"
"13478","GO:0006355","dmrt2a",7700,"ENSXMAG00000015603","ISA"
"13479","GO:0005634","dmrt2a",7700,"ENSXMAG00000015603","ISA"
"13480","GO:0046872","dmrt2a",7700,"ENSXMAG00000015603","ISA"
"13481","GO:0043565","dmrt2a",7700,"ENSXMAG00000015603","ISA"
"13482","GO:0006915","dmrt2a",7700,"ENSXMAG00000015603","ISA"
"13483","GO:0007368","dmrt2a",7700,"ENSXMAG00000015603","ISA"
"13484","GO:0048741","dmrt2a",7700,"ENSXMAG00000015603","ISA"
"14296","GO:0046872","pepd",8198,"ENSXMAG00000016552","ISA"
"14297","GO:0016787","pepd",8198,"ENSXMAG00000016552","ISA"
"14298","GO:0008233","pepd",8198,"ENSXMAG00000016552","ISA"
"14299","GO:0030145","pepd",8198,"ENSXMAG00000016552","ISA"
"14300","GO:0070006","pepd",8198,"ENSXMAG00000016552","ISA"
"15463","GO:0007186","adgrl4",8859,"ENSXMAG00000017894","ISA"
"15464","GO:0016020","adgrl4",8859,"ENSXMAG00000017894","ISA"
"15465","GO:0005886","adgrl4",8859,"ENSXMAG00000017894","ISA"
"15466","GO:0004930","adgrl4",8859,"ENSXMAG00000017894","ISA"
"15467","GO:0005509","adgrl4",8859,"ENSXMAG00000017894","ISA"
"15468","GO:0004888","adgrl4",8859,"ENSXMAG00000017894","ISA"
"15469","GO:0007166","adgrl4",8859,"ENSXMAG00000017894","ISA"
"15470","GO:0048513","adgrl4",8859,"ENSXMAG00000017894","ISA"
"18045","GO:0016020","KCNV1",523,"ENSXMAG00000001158","ISA"
