GOMFID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	GENEID_list	GENENAME_list
GO:0001882	0.0227709078579001	65.9262295081967	0.0229431355618601	1	3	nucleoside binding	ENSXMAG00000001568	POLR3B
GO:0003700	0.0370886108907479	2.59493954321541	2.48550635253485	6	325	DNA-binding transcription factor activity	ENSXMAG00000006252,ENSXMAG00000012068,ENSXMAG00000010946,ENSXMAG00000002360,ENSXMAG00000016472,ENSXMAG00000019527	e2f7,gabpa,nrf1,rargb,mitfb,nfil3-6
GO:0003876	0.0376672917204472	32.9549180327869	0.0382385592697669	1	5	AMP deaminase activity	ENSXMAG00000012734	AMPD3
GO:0003921	0.00764771185395341	Inf	0.00764771185395337	1	1	GMP synthase activity	ENSXMAG00000017018	gmps
GO:0003922	0.00764771185395341	Inf	0.00764771185395337	1	1	GMP synthase (glutamine-hydrolyzing) activity	ENSXMAG00000017018	gmps
GO:0004479	0.00764771185395341	Inf	0.00764771185395337	1	1	methionyl-tRNA formyltransferase activity	ENSXMAG00000003975	mtfmt
GO:0004611	0.0152378724590679	131.868852459016	0.0152954237079067	1	2	phosphoenolpyruvate carboxykinase activity	ENSXMAG00000006128	pck2
GO:0004613	0.0152378724590679	131.868852459016	0.0152954237079067	1	2	phosphoenolpyruvate carboxykinase (GTP) activity	ENSXMAG00000006128	pck2
GO:0004645	0.030247240991268	43.9453551912568	0.0305908474158135	1	4	1,4-alpha-oligoglucan phosphorylase activity	ENSXMAG00000014865	pygl
GO:0005049	0.045031476849222	26.3606557377049	0.0458862711237202	1	6	nuclear export signal receptor activity	ENSXMAG00000002870	XPO5
GO:0005388	0.00156436461531012	44.6611111111111	0.061181694831627	2	8	P-type calcium transporter activity	ENSXMAG00000004407,ENSXMAG00000005755	atp2b3b,ATP2A3
GO:0005488	0.0343572109383232	1.91220673240394	45.3815221413593	52	5934	binding	ENSXMAG00000001874,ENSXMAG00000004492,ENSXMAG00000006252,ENSXMAG00000010755,ENSXMAG00000011361,ENSXMAG00000011405,ENSXMAG00000012068,ENSXMAG00000019238,ENSXMAG00000002181,ENSXMAG00000003327,ENSXMAG00000003753,ENSXMAG00000007652,ENSXMAG00000009092,ENSXMAG00000010946,ENSXMAG00000012916,ENSXMAG00000013842,ENSXMAG00000014602,ENSXMAG00000014865,ENSXMAG00000017018,ENSXMAG00000017964,ENSXMAG00000019026,ENSXMAG00000020178,ENSXMAG00000000092,ENSXMAG00000001568,ENSXMAG00000001793,ENSXMAG00000002360,ENSXMAG00000004407,ENSXMAG00000005755,ENSXMAG00000011580,ENSXMAG00000012048,ENSXMAG00000012734,ENSXMAG00000012806,ENSXMAG00000015536,ENSXMAG00000016472,ENSXMAG00000016834,ENSXMAG00000017694,ENSXMAG00000019527,ENSXMAG00000019743,ENSXMAG00000000205,ENSXMAG00000000230,ENSXMAG00000002760,ENSXMAG00000005370,ENSXMAG00000006128,ENSXMAG00000007420,ENSXMAG00000010565,ENSXMAG00000013289,ENSXMAG00000013964,ENSXMAG00000014575,ENSXMAG00000015582,ENSXMAG00000017351,ENSXMAG00000018856,ENSXMAG00000020032	intu,arhgef7b,e2f7,megf6,lrp8,RBMS1,gabpa,FAT2,galt,dmrta2,pabpc1b,cpeb3,zdhhc15b,nrf1,pctp,ADAMTS16,chuk,pygl,gmps,MYO1D,ca7,zbtb1,RIMBP2,POLR3B,WNT6,rargb,atp2b3b,ATP2A3,stxbp5l,EEF1A1,AMPD3,FNDC4,acap1,mitfb,DSCAM,PITPNM2,nfil3-6,ELFN1,trim2a,plcd1b,snrka,kcng4a,pck2,FNDC3A,KYNU,inppl1b,kcnn1a,dcaf5,C1QL1,syn2b,USP48,lrrc8db
GO:0008108	0.00764771185395341	Inf	0.00764771185395337	1	1	UDP-glucose:hexose-1-phosphate uridylyltransferase activity	ENSXMAG00000002181	galt
GO:0008184	0.0227709078579001	65.9262295081967	0.0229431355618601	1	3	glycogen phosphorylase activity	ENSXMAG00000014865	pygl
GO:0008384	0.0227709078579001	65.9262295081967	0.0229431355618601	1	3	IkappaB kinase activity	ENSXMAG00000014602	chuk
GO:0010485	0.00764771185395341	Inf	0.00764771185395337	1	1	H4 histone acetyltransferase activity	ENSXMAG00000017041	naa40
GO:0015075	0.030976131799788	2.4981351981352	3.03614160601949	7	397	ion transmembrane transporter activity	ENSXMAG00000008858,ENSXMAG00000004407,ENSXMAG00000005755,ENSXMAG00000005370,ENSXMAG00000006322,ENSXMAG00000012611,ENSXMAG00000013964	slc13a4,atp2b3b,ATP2A3,kcng4a,slc4a4a,gabra1,kcnn1a
GO:0015269	0.030247240991268	43.9453551912568	0.0305908474158135	1	4	calcium-activated potassium channel activity	ENSXMAG00000013964	kcnn1a
GO:0015318	0.023907205090495	2.64754865730476	2.87553965708647	7	376	inorganic molecular entity transmembrane transporter activity	ENSXMAG00000008858,ENSXMAG00000004407,ENSXMAG00000005755,ENSXMAG00000005370,ENSXMAG00000006322,ENSXMAG00000012611,ENSXMAG00000013964	slc13a4,atp2b3b,ATP2A3,kcng4a,slc4a4a,gabra1,kcnn1a
GO:0015662	0.00361546016500998	26.7833333333333	0.0917725422474405	2	12	P-type ion transporter activity	ENSXMAG00000004407,ENSXMAG00000005755	atp2b3b,ATP2A3
GO:0016286	0.030247240991268	43.9453551912568	0.0305908474158135	1	4	small conductance calcium-activated potassium channel activity	ENSXMAG00000013964	kcnn1a
GO:0016409	0.01662218155798	11.1402777777778	0.198840508202788	2	26	palmitoyltransferase activity	ENSXMAG00000019130,ENSXMAG00000009092	zdhhc20b,zdhhc15b
GO:0016417	0.0178645021951849	10.6933333333333	0.206488220056741	2	27	S-acyltransferase activity	ENSXMAG00000019130,ENSXMAG00000009092	zdhhc20b,zdhhc15b
GO:0016822	0.0152378724590679	131.868852459016	0.0152954237079067	1	2	hydrolase activity, acting on acid carbon-carbon bonds	ENSXMAG00000010565	KYNU
GO:0016823	0.0152378724590679	131.868852459016	0.0152954237079067	1	2	hydrolase activity, acting on acid carbon-carbon bonds, in ketonic substances	ENSXMAG00000010565	KYNU
GO:0019706	0.0131309099766076	12.7365079365079	0.175897372640928	2	23	protein-cysteine S-palmitoyltransferase activity	ENSXMAG00000019130,ENSXMAG00000009092	zdhhc20b,zdhhc15b
GO:0019707	0.0131309099766076	12.7365079365079	0.175897372640928	2	23	protein-cysteine S-acyltransferase activity	ENSXMAG00000019130,ENSXMAG00000009092	zdhhc20b,zdhhc15b
GO:0019829	0.0246364959178743	8.90555555555556	0.244726779326508	2	32	ATPase-coupled cation transmembrane transporter activity	ENSXMAG00000004407,ENSXMAG00000005755	atp2b3b,ATP2A3
GO:0022851	0.0152378724590679	131.868852459016	0.0152954237079067	1	2	GABA-gated chloride ion channel activity	ENSXMAG00000012611	gabra1
