"","frame.go_id","frame.gene_name","frame.gene_id","frame.ensembl","frame.Evidence"
"585","GO:0000166","insra",265,"ENSXMAG00000000547","ISA"
"586","GO:0016020","insra",265,"ENSXMAG00000000547","ISA"
"587","GO:0004672","insra",265,"ENSXMAG00000000547","ISA"
"588","GO:0005524","insra",265,"ENSXMAG00000000547","ISA"
"589","GO:0006468","insra",265,"ENSXMAG00000000547","ISA"
"590","GO:0004713","insra",265,"ENSXMAG00000000547","ISA"
"591","GO:0004714","insra",265,"ENSXMAG00000000547","ISA"
"592","GO:0007169","insra",265,"ENSXMAG00000000547","ISA"
"593","GO:0005886","insra",265,"ENSXMAG00000000547","ISA"
"594","GO:0016740","insra",265,"ENSXMAG00000000547","ISA"
"595","GO:0043548","insra",265,"ENSXMAG00000000547","ISA"
"596","GO:0043560","insra",265,"ENSXMAG00000000547","ISA"
"597","GO:0046777","insra",265,"ENSXMAG00000000547","ISA"
"598","GO:0005515","insra",265,"ENSXMAG00000000547","ISA"
"2882","GO:0000166","sar1ab",1566,"ENSXMAG00000003130","ISA"
"2883","GO:0003924","sar1ab",1566,"ENSXMAG00000003130","ISA"
"2884","GO:0005525","sar1ab",1566,"ENSXMAG00000003130","ISA"
"2885","GO:0006886","sar1ab",1566,"ENSXMAG00000003130","ISA"
"2886","GO:0015031","sar1ab",1566,"ENSXMAG00000003130","ISA"
"2887","GO:0005794","sar1ab",1566,"ENSXMAG00000003130","ISA"
"2888","GO:0005783","sar1ab",1566,"ENSXMAG00000003130","ISA"
"2889","GO:0016192","sar1ab",1566,"ENSXMAG00000003130","ISA"
"4196","GO:0046872","zc3h11a",2412,"ENSXMAG00000004752","ISA"
"11393","GO:0005737","PTPN3",6466,"ENSXMAG00000013103","ISA"
"11394","GO:0005856","PTPN3",6466,"ENSXMAG00000013103","ISA"
"11395","GO:0004721","PTPN3",6466,"ENSXMAG00000013103","ISA"
"11396","GO:0004725","PTPN3",6466,"ENSXMAG00000013103","ISA"
