"","frame.go_id","frame.gene_name","frame.gene_id","frame.ensembl","frame.Evidence"
"2430","GO:0006672","acer1",1269,"ENSXMAG00000002576","ISA"
"2431","GO:0016020","acer1",1269,"ENSXMAG00000002576","ISA"
"2432","GO:0016787","acer1",1269,"ENSXMAG00000002576","ISA"
"2433","GO:0006629","acer1",1269,"ENSXMAG00000002576","ISA"
"2434","GO:0016811","acer1",1269,"ENSXMAG00000002576","ISA"
"2435","GO:0006665","acer1",1269,"ENSXMAG00000002576","ISA"
"2436","GO:0017040","acer1",1269,"ENSXMAG00000002576","ISA"
"2437","GO:0102121","acer1",1269,"ENSXMAG00000002576","ISA"
"2438","GO:0046512","acer1",1269,"ENSXMAG00000002576","ISA"
"5465","GO:0016787","TNS3",3174,"ENSXMAG00000006335","ISA"
"5466","GO:0004721","TNS3",3174,"ENSXMAG00000006335","ISA"
"5467","GO:0005925","TNS3",3174,"ENSXMAG00000006335","ISA"
"5468","GO:0005515","TNS3",3174,"ENSXMAG00000006335","ISA"
"5469","GO:0070161","TNS3",3174,"ENSXMAG00000006335","ISA"
"6714","GO:0110165","soul3",3841,"ENSXMAG00000007713","ISA"
"15898","GO:0007155","nexn",9117,"ENSXMAG00000018408","ISA"
"15899","GO:0005886","nexn",9117,"ENSXMAG00000018408","ISA"
"15900","GO:0007411","nexn",9117,"ENSXMAG00000018408","ISA"
"15901","GO:0005515","nexn",9117,"ENSXMAG00000018408","ISA"
"17539","GO:0016020","tm4sf4",259,"ENSXMAG00000000538","ISA"
"17540","GO:0031018","tm4sf4",259,"ENSXMAG00000000538","ISA"
"17541","GO:0090104","tm4sf4",259,"ENSXMAG00000000538","ISA"
"17542","GO:2000077","tm4sf4",259,"ENSXMAG00000000538","ISA"
"17543","GO:2000227","tm4sf4",259,"ENSXMAG00000000538","ISA"
"19569","GO:0016020","fam174b",1377,"ENSXMAG00000002779","ISA"
"19792","GO:0016020","scd",1537,"ENSXMAG00000003083","ISA"
"19793","GO:0046872","scd",1537,"ENSXMAG00000003083","ISA"
"19794","GO:0016491","scd",1537,"ENSXMAG00000003083","ISA"
"19795","GO:0006629","scd",1537,"ENSXMAG00000003083","ISA"
"19796","GO:0006633","scd",1537,"ENSXMAG00000003083","ISA"
"19797","GO:0016717","scd",1537,"ENSXMAG00000003083","ISA"
"19798","GO:0016215","scd",1537,"ENSXMAG00000003083","ISA"
"19799","GO:0060613","scd",1537,"ENSXMAG00000003083","ISA"
"20274","GO:0003677","RBPJL",1813,"ENSXMAG00000003601","ISA"
"20275","GO:0003700","RBPJL",1813,"ENSXMAG00000003601","ISA"
"20276","GO:0006355","RBPJL",1813,"ENSXMAG00000003601","ISA"
"20277","GO:0005634","RBPJL",1813,"ENSXMAG00000003601","ISA"
"20278","GO:0006357","RBPJL",1813,"ENSXMAG00000003601","ISA"
"20279","GO:0001228","RBPJL",1813,"ENSXMAG00000003601","ISA"
"20280","GO:0045944","RBPJL",1813,"ENSXMAG00000003601","ISA"
"20281","GO:0000978","RBPJL",1813,"ENSXMAG00000003601","ISA"
"20381","GO:0003677","prox1a",1873,"ENSXMAG00000003709","ISA"
"20382","GO:0006355","prox1a",1873,"ENSXMAG00000003709","ISA"
"20383","GO:0005634","prox1a",1873,"ENSXMAG00000003709","ISA"
"20384","GO:0007399","prox1a",1873,"ENSXMAG00000003709","ISA"
"20385","GO:0048468","prox1a",1873,"ENSXMAG00000003709","ISA"
"20386","GO:0001946","prox1a",1873,"ENSXMAG00000003709","ISA"
"20387","GO:0021884","prox1a",1873,"ENSXMAG00000003709","ISA"
"20388","GO:0030239","prox1a",1873,"ENSXMAG00000003709","ISA"
"20389","GO:0043433","prox1a",1873,"ENSXMAG00000003709","ISA"
"20390","GO:0048885","prox1a",1873,"ENSXMAG00000003709","ISA"
"20391","GO:0048886","prox1a",1873,"ENSXMAG00000003709","ISA"
"21303","GO:0046872","itsn2a",2345,"ENSXMAG00000004605","ISA"
"21304","GO:0035556","itsn2a",2345,"ENSXMAG00000004605","ISA"
"21305","GO:0005085","itsn2a",2345,"ENSXMAG00000004605","ISA"
"21306","GO:0005509","itsn2a",2345,"ENSXMAG00000004605","ISA"
"21307","GO:0042995","itsn2a",2345,"ENSXMAG00000004605","ISA"
"21308","GO:0045202","itsn2a",2345,"ENSXMAG00000004605","ISA"
"21309","GO:0006897","itsn2a",2345,"ENSXMAG00000004605","ISA"
"21310","GO:0005515","itsn2a",2345,"ENSXMAG00000004605","ISA"
"23168","GO:0005615","serpinf1",3437,"ENSXMAG00000006884","ISA"
"23169","GO:0004867","serpinf1",3437,"ENSXMAG00000006884","ISA"
"25217","GO:0016020","TMED6",4744,"ENSXMAG00000009569","ISA"
"25218","GO:0005737","TMED6",4744,"ENSXMAG00000009569","ISA"
"25219","GO:0005783","TMED6",4744,"ENSXMAG00000009569","ISA"
"25220","GO:0005789","TMED6",4744,"ENSXMAG00000009569","ISA"
"25221","GO:0043231","TMED6",4744,"ENSXMAG00000009569","ISA"
"25488","GO:0016020","slc43a1a",4883,"ENSXMAG00000009825","ISA"
"25489","GO:0055085","slc43a1a",4883,"ENSXMAG00000009825","ISA"
"25490","GO:0022857","slc43a1a",4883,"ENSXMAG00000009825","ISA"
"25491","GO:0072015","slc43a1a",4883,"ENSXMAG00000009825","ISA"
"25640","GO:0004364","GSTM4",4945,"ENSXMAG00000009961","ISA"
"26986","GO:0016020","CLCN1",5738,"ENSXMAG00000011547","ISA"
"26987","GO:0055085","CLCN1",5738,"ENSXMAG00000011547","ISA"
"26988","GO:0005247","CLCN1",5738,"ENSXMAG00000011547","ISA"
"26989","GO:0006821","CLCN1",5738,"ENSXMAG00000011547","ISA"
"26990","GO:1902476","CLCN1",5738,"ENSXMAG00000011547","ISA"
"27253","GO:0071949","acox3",5884,"ENSXMAG00000011846","ISA"
"27254","GO:0016491","acox3",5884,"ENSXMAG00000011846","ISA"
"27255","GO:0016627","acox3",5884,"ENSXMAG00000011846","ISA"
"27256","GO:0006631","acox3",5884,"ENSXMAG00000011846","ISA"
