"","frame.go_id","frame.gene_name","frame.gene_id","frame.ensembl","frame.Evidence"
"27381","GO:0016020","CACNG6",5949,"ENSXMAG00000011991","ISA"
"31676","GO:0046872","zgc:136858",8435,"ENSXMAG00000016998","ISA"
"31677","GO:0016787","zgc:136858",8435,"ENSXMAG00000016998","ISA"
"31678","GO:0016798","zgc:136858",8435,"ENSXMAG00000016998","ISA"
"31679","GO:0008152","zgc:136858",8435,"ENSXMAG00000016998","ISA"
"31680","GO:0016301","zgc:136858",8435,"ENSXMAG00000016998","ISA"
"31681","GO:0016740","zgc:136858",8435,"ENSXMAG00000016998","ISA"
"31682","GO:0016310","zgc:136858",8435,"ENSXMAG00000016998","ISA"
"31683","GO:0016829","zgc:136858",8435,"ENSXMAG00000016998","ISA"
"31684","GO:0016773","zgc:136858",8435,"ENSXMAG00000016998","ISA"
"31685","GO:0004730","zgc:136858",8435,"ENSXMAG00000016998","ISA"
"31686","GO:0001522","zgc:136858",8435,"ENSXMAG00000016998","ISA"
"31687","GO:0006753","zgc:136858",8435,"ENSXMAG00000016998","ISA"
"34001","GO:0003735","5S_rRNA",10010,"ENSXMAG00000020731","ISA"
"34002","GO:0005840","5S_rRNA",10010,"ENSXMAG00000020731","ISA"
"40050","GO:0016020","lhfpl3",3604,"ENSXMAG00000007241","ISA"
"46802","GO:0008158","ptch2",7767,"ENSXMAG00000015720","ISA"
"46803","GO:0016020","ptch2",7767,"ENSXMAG00000015720","ISA"
"48180","GO:0005615","serpini1",8536,"ENSXMAG00000017196","ISA"
"48181","GO:0004867","serpini1",8536,"ENSXMAG00000017196","ISA"
"48182","GO:0001966","serpini1",8536,"ENSXMAG00000017196","ISA"
"48183","GO:0010975","serpini1",8536,"ENSXMAG00000017196","ISA"
"51757","GO:0005515","PPFIA3",740,"ENSXMAG00000001587","ISA"
"51758","GO:0005737","PPFIA3",740,"ENSXMAG00000001587","ISA"
"53008","GO:0031110","stmn2b",1805,"ENSXMAG00000003588","ISA"
"53883","GO:0016020","HS6ST3",2401,"ENSXMAG00000004707","ISA"
"53884","GO:0016740","HS6ST3",2401,"ENSXMAG00000004707","ISA"
"53885","GO:0008146","HS6ST3",2401,"ENSXMAG00000004707","ISA"
"58492","GO:0046872","zic5",5467,"ENSXMAG00000010996","ISA"
"58493","GO:0001841","zic5",5467,"ENSXMAG00000010996","ISA"
"58494","GO:0030901","zic5",5467,"ENSXMAG00000010996","ISA"
"58495","GO:0033278","zic5",5467,"ENSXMAG00000010996","ISA"
"58496","GO:0042127","zic5",5467,"ENSXMAG00000010996","ISA"
"58497","GO:0050767","zic5",5467,"ENSXMAG00000010996","ISA"
"58812","GO:0016020","SLC25A30",5688,"ENSXMAG00000011434","ISA"
"58813","GO:0006839","SLC25A30",5688,"ENSXMAG00000011434","ISA"
"58814","GO:0031966","SLC25A30",5688,"ENSXMAG00000011434","ISA"
"63459","GO:0005576","dand5",8598,"ENSXMAG00000017343","ISA"
"63460","GO:0048513","dand5",8598,"ENSXMAG00000017343","ISA"
"63461","GO:0032926","dand5",8598,"ENSXMAG00000017343","ISA"
"63462","GO:0003002","dand5",8598,"ENSXMAG00000017343","ISA"
"65448","GO:0051431","ucn3l",9860,"ENSXMAG00000020028","ISA"
"65449","GO:0007586","ucn3l",9860,"ENSXMAG00000020028","ISA"
"65450","GO:0005615","ucn3l",9860,"ENSXMAG00000020028","ISA"
"65451","GO:0005179","ucn3l",9860,"ENSXMAG00000020028","ISA"
"65452","GO:0007165","ucn3l",9860,"ENSXMAG00000020028","ISA"
"65453","GO:0005576","ucn3l",9860,"ENSXMAG00000020028","ISA"
"65454","GO:0005102","ucn3l",9860,"ENSXMAG00000020028","ISA"
