"","frame.go_id","frame.gene_name","frame.gene_id","frame.ensembl","frame.Evidence"
"1551","GO:0003677","bsx",742,"ENSXMAG00000001595","ISA"
"1552","GO:0006355","bsx",742,"ENSXMAG00000001595","ISA"
"1553","GO:0005634","bsx",742,"ENSXMAG00000001595","ISA"
"1554","GO:0000981","bsx",742,"ENSXMAG00000001595","ISA"
"1555","GO:0006357","bsx",742,"ENSXMAG00000001595","ISA"
"1556","GO:0021982","bsx",742,"ENSXMAG00000001595","ISA"
"1876","GO:0005634","pcnp",890,"ENSXMAG00000001886","ISA"
"1877","GO:0016567","pcnp",890,"ENSXMAG00000001886","ISA"
"1878","GO:0007049","pcnp",890,"ENSXMAG00000001886","ISA"
"2030","GO:0016020","bnip3la",960,"ENSXMAG00000002019","ISA"
"2031","GO:0005739","bnip3la",960,"ENSXMAG00000002019","ISA"
"2032","GO:0043065","bnip3la",960,"ENSXMAG00000002019","ISA"
"2033","GO:0005740","bnip3la",960,"ENSXMAG00000002019","ISA"
"2034","GO:0042802","bnip3la",960,"ENSXMAG00000002019","ISA"
"2035","GO:0019222","bnip3la",960,"ENSXMAG00000002019","ISA"
"2194","GO:0003677","BHLHE40",1093,"ENSXMAG00000002248","ISA"
"2195","GO:0006355","BHLHE40",1093,"ENSXMAG00000002248","ISA"
"2196","GO:0046983","BHLHE40",1093,"ENSXMAG00000002248","ISA"
"2530","GO:0016020","cntn2",1320,"ENSXMAG00000002652","ISA"
"2531","GO:0005515","cntn2",1320,"ENSXMAG00000002652","ISA"
"2662","GO:0005737","lta4h",1435,"ENSXMAG00000002884","ISA"
"2663","GO:0046872","lta4h",1435,"ENSXMAG00000002884","ISA"
"2664","GO:0016787","lta4h",1435,"ENSXMAG00000002884","ISA"
"2665","GO:0008270","lta4h",1435,"ENSXMAG00000002884","ISA"
"2666","GO:0006508","lta4h",1435,"ENSXMAG00000002884","ISA"
"2667","GO:0008233","lta4h",1435,"ENSXMAG00000002884","ISA"
"2668","GO:0008237","lta4h",1435,"ENSXMAG00000002884","ISA"
"2669","GO:0004463","lta4h",1435,"ENSXMAG00000002884","ISA"
"2670","GO:0019370","lta4h",1435,"ENSXMAG00000002884","ISA"
"3309","GO:0046872","smyd2b",1868,"ENSXMAG00000003700","ISA"
"3310","GO:0005515","smyd2b",1868,"ENSXMAG00000003700","ISA"
"3514","GO:0003677","fosab",2027,"ENSXMAG00000004017","ISA"
"3515","GO:0003700","fosab",2027,"ENSXMAG00000004017","ISA"
"3516","GO:0006355","fosab",2027,"ENSXMAG00000004017","ISA"
"3517","GO:0005634","fosab",2027,"ENSXMAG00000004017","ISA"
"3518","GO:0006357","fosab",2027,"ENSXMAG00000004017","ISA"
"3519","GO:0003690","fosab",2027,"ENSXMAG00000004017","ISA"
"3520","GO:0033555","fosab",2027,"ENSXMAG00000004017","ISA"
"3521","GO:0061026","fosab",2027,"ENSXMAG00000004017","ISA"
"4122","GO:0005634","ctnnbl1",2390,"ENSXMAG00000004678","ISA"
"5048","GO:0003677","noto",2890,"ENSXMAG00000005732","ISA"
"5049","GO:0006355","noto",2890,"ENSXMAG00000005732","ISA"
"5050","GO:0005634","noto",2890,"ENSXMAG00000005732","ISA"
"5051","GO:0000981","noto",2890,"ENSXMAG00000005732","ISA"
"5052","GO:0006357","noto",2890,"ENSXMAG00000005732","ISA"
"7476","GO:0008233","eif3ha",4259,"ENSXMAG00000008569","ISA"
"7477","GO:0005852","eif3ha",4259,"ENSXMAG00000008569","ISA"
"7478","GO:0003743","eif3ha",4259,"ENSXMAG00000008569","ISA"
"7479","GO:0008237","eif3ha",4259,"ENSXMAG00000008569","ISA"
"7480","GO:0005737","eif3ha",4259,"ENSXMAG00000008569","ISA"
"7481","GO:0005515","eif3ha",4259,"ENSXMAG00000008569","ISA"
"7482","GO:0001944","eif3ha",4259,"ENSXMAG00000008569","ISA"
"7483","GO:0006417","eif3ha",4259,"ENSXMAG00000008569","ISA"
"7484","GO:0007420","eif3ha",4259,"ENSXMAG00000008569","ISA"
"7485","GO:0048882","eif3ha",4259,"ENSXMAG00000008569","ISA"
"8153","GO:0003676","hnrnpc",4623,"ENSXMAG00000009333","ISA"
"8154","GO:0003723","hnrnpc",4623,"ENSXMAG00000009333","ISA"
"8425","GO:0000166","smarca5",4807,"ENSXMAG00000009678","ISA"
"8426","GO:0005524","smarca5",4807,"ENSXMAG00000009678","ISA"
"8427","GO:0003677","smarca5",4807,"ENSXMAG00000009678","ISA"
"8428","GO:0005634","smarca5",4807,"ENSXMAG00000009678","ISA"
"8429","GO:0016787","smarca5",4807,"ENSXMAG00000009678","ISA"
"8430","GO:0006338","smarca5",4807,"ENSXMAG00000009678","ISA"
"8431","GO:0031491","smarca5",4807,"ENSXMAG00000009678","ISA"
"8432","GO:0003231","smarca5",4807,"ENSXMAG00000009678","ISA"
"8433","GO:0060041","smarca5",4807,"ENSXMAG00000009678","ISA"
"8434","GO:0140658","smarca5",4807,"ENSXMAG00000009678","ISA"
"8873","GO:0007165","adora1b",5075,"ENSXMAG00000010202","ISA"
"8874","GO:0007186","adora1b",5075,"ENSXMAG00000010202","ISA"
"8875","GO:0016020","adora1b",5075,"ENSXMAG00000010202","ISA"
"8876","GO:0005886","adora1b",5075,"ENSXMAG00000010202","ISA"
"8877","GO:0004930","adora1b",5075,"ENSXMAG00000010202","ISA"
"8878","GO:0001609","adora1b",5075,"ENSXMAG00000010202","ISA"
"8879","GO:0001973","adora1b",5075,"ENSXMAG00000010202","ISA"
"9587","GO:0016020","gdpd1",5443,"ENSXMAG00000010955","ISA"
"9588","GO:0006629","gdpd1",5443,"ENSXMAG00000010955","ISA"
"9589","GO:0008081","gdpd1",5443,"ENSXMAG00000010955","ISA"
"10035","GO:0000166","kif1b",5659,"ENSXMAG00000011378","ISA"
"10036","GO:0005524","kif1b",5659,"ENSXMAG00000011378","ISA"
"10037","GO:0005737","kif1b",5659,"ENSXMAG00000011378","ISA"
"10038","GO:0008017","kif1b",5659,"ENSXMAG00000011378","ISA"
"10039","GO:0005874","kif1b",5659,"ENSXMAG00000011378","ISA"
"10040","GO:0003774","kif1b",5659,"ENSXMAG00000011378","ISA"
"10041","GO:0003777","kif1b",5659,"ENSXMAG00000011378","ISA"
"10042","GO:0007018","kif1b",5659,"ENSXMAG00000011378","ISA"
"10043","GO:0030424","kif1b",5659,"ENSXMAG00000011378","ISA"
"10044","GO:0008298","kif1b",5659,"ENSXMAG00000011378","ISA"
"10045","GO:0030099","kif1b",5659,"ENSXMAG00000011378","ISA"
"10046","GO:0030225","kif1b",5659,"ENSXMAG00000011378","ISA"
"10047","GO:0048675","kif1b",5659,"ENSXMAG00000011378","ISA"
"10048","GO:0048917","kif1b",5659,"ENSXMAG00000011378","ISA"
"10049","GO:0048918","kif1b",5659,"ENSXMAG00000011378","ISA"
"10050","GO:1990535","kif1b",5659,"ENSXMAG00000011378","ISA"
"10051","GO:0005515","kif1b",5659,"ENSXMAG00000011378","ISA"
"10052","GO:0008045","kif1b",5659,"ENSXMAG00000011378","ISA"
